"２４１
,厚かましい,あつかましい,đanh đá
音： こう,厚意,こうい,tấm lòng
,厚情,こうじょう,tình cảm nồng hậu
,温厚,おんこう,"dịu dàng, hòa nhã"
,寛厚,かんこう,"sư tế, lòng tốt"
"２８７
N4",原,Nguyên,Cánh đồng
訓,原,はら,cánh đồng
音： げん,原理,げんり,nguyên lý
,原料,げんりょう,chất liệu
,高原,こうげん,cao nguyên
,草原,そうげん,thảo nguyên
２８８,ム,Bộ khư,
"２８９
N5",去,Khứ,"Lìa bỏ, quá khứ"
訓,去る,さる,"lui bước, ra đi"
音： きょ、こ,去年,きょねん,năm ngoái
,去来,きょらい,đi đi về về
,撤去,てっきょ,sự hủy bỏ
,過去,かこ,quá khứ
"２９０
N4",参,Tham,Tham gia
訓,参る,まいる,đi thắm viếng
音： さん,持参,じさん,đem theo
,参考,さんこう,tham khảo
,参入,さんにゅう,tham gia
,参議院,さんぎいん,thượng nghị viện
"２９１
N3",又,Hựu,Lại nữa
訓,又,また,lại nữa
,,,
,,,
"２９２
N3",及,Cập,Phổ cập
訓,及ぼす,およぼす,gây ảnh hưởng
,及ぶ,およぶ,"đạt đến, lan ra"
音： きゅう,普及,ふきゅう,phổ cập
,波及,はきゅう,lan truyền
,追及,ついきゅう,điều tra
"２９３
N5",友,Hữu,Bạn bè
訓,友達,ともだち,bạn bè
音： ゆう,友人,ゆうじん,bạn thân
,友好,ゆうこう,"hữu nghị, giao hảo"
,友情,ゆうじょう,tình hữu
,親友,しんゆう,bạn thân
"２９４
N5",反,Phản,Phản đối
訓,反らす,そらす,uốn cong
,反る,そる,"vênh, phục nguyên"
音： はん,反対,はんたい,phản đối
,反応,はんのう,phản ứng
,違反,いはん,vi phạm
,謀反,むほん,nổi loạn
"２９５
N3",収,"Thâu, Thu",Thu nhập
訓,収める,おさめる,"thu được, giao nộp"
,収まる,おさまる,"thu cất, tàng trữ"
音： しゅう,収穫,しゅうかく,thu hoạch
,回収,かいしゅう,thu hồi
,税収,ぜいしゅう,lợi tức
"２９６
N3",双,Song,"Đôi, cả hai"
訓,双子,ふたご,anh em sinh đôi
音： そう,双生,そうせい,sinh đôi
,双方,そうほう,"đôi bên, hai hướng"
,双発,そうはつ,hai động cơ
,双頭,そうとう,hai đầu xe lửa
,,,
,,,
,,,
,,,
"２９７
N5",取,Thủ,Lấy
訓,取る,とる,lấy
,取れる,とれる,bị lấy
音： しゅ,取材,しゅざい,sự phân biệt
,取得,しゅとく,giành được
,摂取,くちょう,hấp thụ
"２９８
N5",受,Thụ,"Nhận, chịu"
訓,受ける,うける,tiếp nhận
,受かる,うかる,"vượt qua, thi đỗ"
音： じゅ,受験,じゅけん,dự thi
,受諾,じゅだく,"chấp hành, nhận lời"
,受話器,じゅわき,ống nghe điện thoại
"２９９
N2",叔,Thúc,"Cô, chú"
,*叔母,おば,cô
,*叔父,おじ,chú
,,,
,,,
,,,
"３００
N2",叙,Tự,Bày tỏ
訓,叙する,じょする,bày tỏ
音： じょ,叙事,じょじ,"tự sự, tường thuật"
,叙景,じょけい,"phong cảnh, cảnh vật"
,叙述,じょじゅつ,"mô tả, diễn tả"
,叙情,じょじょう,thơ trữ tình
"３０１
N5",口,Khẩu,Miệng
訓,口,くち,cái miệng
音: こう、く,人口,じんこう,dân số.
,口座,こうざ,ngân hàng
,口頭,こうとう,thi vấn đáp
,口調,くちょう,âm điệu
"３０２
N5",右,Hữu,Bên phải
訓,右,みぎ,bên phải
音： う、ゆう,右折,うせつ,rẽ phải
,右翼,うよく,cánh phải
,左右,さゆう,trái phải
"３０３
N5",古,Cổ,"Cũ, xưa"
訓,古い,ふるい,"cũ, xưa"
,古す,ふるす,cũ đi
音： こ,古代,こだい,cổ đại
,古典,こてん,cổ điển
,中古,ちゅうこ,"trung cổ, đồ xài rồi"
"３０４
N5",台,Đài,"Bục, nền cao"
音： だい、たい,台本,だいほん,kịch bản
,土台,どだい,nền tảng
,鏡台,きょうだい,bàn trang điểm
,台風,たいふう,bão
,舞台,ぶたい,"sân khấu, bệ, đài"
"３０５
N5",号,Hiệu,Số hiệu
音： ごう,号室,ごうしつ,số phòng
,信号,しんごう,đèn tín hiệu
,番号,ばんごう,số thứ tự
,符号,ふごう,"phù hiệu, nhãn"
,記号,きごう,ký hiệu
"３０６
N4",史,Sử,Lịch sử
音： し,史学,しがく,sử học
,史跡,しせき,sử tích
,史家,しか,sử gia
,歴史,れきし,lịch sử
,戦史,せんし,lịch sử chiến tranh
"３０７
N3",司,"Ty, Tư",Quản trị
音： し,司会,しかい,"MC, chủ trì"
,司令,しれい,"tư lệnh, chỉ huy"
,司法,しほう,tư pháp
,寿司,すし,cơm cuộn
,上司,じょうし,cấp trên
"３０８
N4",可,Khả,Khả năng
音： か,可能,かのう,khả năng
,可決,かけつ,chấp thuận
,許可,きょか,cho phép
,認可,にんか,phê chuẩn
,不可欠,ふかけつ,không thiếu
"３０９
N3",句,Cú,Câu cú
音： く,句集,くしゅう,tuyển tập thơ
,字句,じく,phát biểu
,詩句,しく,câu thơ
,文句,もんく,phàn nàn
,節句,せっく,lễ hội theo mùa
"３１０
N4",召,Triệu,"Mời, vẫy"
訓,召す,めす,ăn uống
音： しょう,召集,しょうしゅう,triệu tập
,召喚,しょうかん,triệu tập
,召還,しょうかん,gọi về
,応召,おうしょう,việc gọi nhập ngũ
"３１１
N3",叱,Sất,La mắng
訓,（を）叱る,（を）しかる,la mắng
音： しつ,叱責,しっせき,trách móc
,叱正,しっせい,chỉ ra những lỗi
,,,
"３１２
N2",叶,Diệp,"Đáp ứng, đạt tới"
訓,叶える,かなえる,"thực hiện, đáp ứng"
,叶う,かなう,"thực hiện, đáp ứng"
,,,
"３１３
N2",只,Chỉ,"Chỉ, vỏn vẹn"
訓,只,ただ,"chỉ, vỏn vẹn"
"３１４
N5",名,Danh,Tên
訓,名,な,tên
音： めい、みょう,名誉,めいよ,danh xưng
,無名,むめい,vô danh
,氏名,しめい,họ tên
,本名,ほんみょう,tên thật
"３１５
N5",合,Hợp,Thích hợp
訓,合う,あう,"thích hợp, hòa hợp"
,合わせる,あわせる,điều chỉnh
,合わす,あわす,hợp lại
"音：
あい、ごう、がく",試合,しあい,trận đấu
,合意,ごうい,"hiệp định, thỏa thuận"
,合宿,がっしゅく,trại huấn luyện
"３１６
N5",同,Đồng,sự phân biệt
訓,同じ,おなじ,giống nhau
音： どう,同時,どうじ,đồng thời
,同士,どうし,đồng chí
,同様,どうよう,đồng dạng
,同感,どうかん,đồng cảm
"３１７
N5",向,Hướng,Phương hướng
訓,向く,むく,hướng
,向ける,むける,hướng
,向かう,むかう,"dành cho, phù hợp"
,向かい,むかい,đối diện
,向こう,むこう,đối diện
音： こう,意向,いこう,"ý hướng, ý chí"
,方向,ほうこう,phương hướng
"３１８
N3",各,Các,"Mỗi, những"
訓,各々,おのおの,"mỗi, những"
音： かく,各地,かくち,mỗi vùng
,各面,かくめん,mọi mặt
,各国,かっこく,mỗi quốc gia
"３１９
N5",吸,Hấp,"Hút, hít"
訓,（を）吸う,（を）すう,"hút, hít"
音： きゅう,吸気,きゅうき,cảm hứng
,吸収,きゅうしゅう,hấp thụ
,吸着,きゅうちゃく,"sự bám, dính"
,呼吸,こきゅう,hô hấp
"３２０
N2",后,Hậu,Hoàng hậu
音： こう,后妃,こうひ,nữ hoàng
,太后,たいこう,thái hậu
,皇后,こうごう,hoàng hậu
