"６８４
N3",影,Ảnh,"Bóng, hình"
音： えい,影響,えいきょう,ảnh hưởng
,撮影,さつえい,sự chụp ảnh
,投影,とうえい,"sự dự tính, trình chiếu"
,陰影,いんえい,cái bóng
,遺影,いえい,chân dung
６８５,彳,Bộ sách,
"６８６
N4",役,Dịch,Vai trò
音： やく、えき,役員,やくいん,viên chức
,役者,やくしゃ,diễn viên
,役割,やくわり,phận sự
,市役所,しやくしょ,ủy ban nhân dân
,現役,げんえき,hoạt động
"６８７
N2",径,Kính,Đường kính
音： けい,半径,はんけい,bán kính
,長径,ちょうけい,trục kính
,内径,ないけい,đường kính trong
,外径,がいけい,đường kính ngoài
,直径,ちょっけい,đường kính
"６８８
N3",往,Vãng,Đi qua
音： おう,往年,おうねん,năm xưa
,往来,おうらい,"đi lại, giao thông"
,往復,おうふく,khứ hồi
,往診,おうしん,bác sĩ khám tận nhà
,往還,おうかん,đến và đi
"６８９
N2",征,Chinh,Chinh phục
音： せい,征服,せいふく,chinh phục
,征伐,せいばつ,"chinh phạt, thám hiểm"
,遠征,えんせい,viễn chinh
,外征,がいせい,tham gia chiến dịch
,出征,しゅっせい,xuất chinh
"６９０
N5",彼,Bỉ,Anh ta (hắn)
訓,彼,かれ,anh ấy
,彼女,かのじょ,cô ấy
音： ひ,彼岸,ひがん,hoa bỉ ngạn
,彼我,ひが,anh ta (hắn)
,,,
"６９１
N5",後,Hậu,"Phía sau, sau"
訓,後で,あとで,"một lát sau, sau đó"
,後,のち,"một lát sau, sau đó"
,後ろ,うしろ,"đằng sau, đến muộn"
,後れる,おくれる,"đằng sau, đến muộn"
音： ご、こう,今後,こんご,sau này
,最後,さいご,cuối cùng
,後退,こうたい,rút lui
"６９２
N5",待,Đãi,"Chờ đợi, tiếp đón"
訓,待つ,まつ,chờ đợi
音： たい,待望,たいぼう,kỳ vọng
,期待,きたい,"mong đợi, kỳ vọng"
,招待,しょうたい,chiêu đãi
,接待,せったい,tiếp đãi
"６９３
N4",律,Luật,Pháp luật
音： りつ、りち,自律,じりつ,tự trị
,規律,きりつ,"qui luật, trật tự"
,法律,ほうりつ,luật pháp
,定律,ていりつ,định luật
,律義,りちぎ,tính tung thực
"６９４
N3",徒,Đồ,Học trò
音： と,徒歩,とほ,việc đi bộ
,徒弟,とてい,người học nghề
,生徒,せいと,học sinh
,信徒,しんと,tín đồ
,教徒,きょうと,giáo đồ
"６９５
N3",従,Tòng,Tuân theo
訓,従える,したがえる,"chinh phục, tuân theo"
,従う,したがう,"chinh phục, tuân theo"
音： じゅう、しょう,従来,じゅうらい,cho tới nay
,従事,じゅうじ,hành  nghề
,従軍,じゅうぐん,chiến dịch
,追従,ついしょう,lời nịnh hót
"６９６
N2",徐,Từ,Thong thả
音： じょ,徐々に,じょじょに,từ từ
,徐行,じょこう,chạy(đi) từ từ
,,,
"６９７
N3",得,Đắc,Thu được
訓,得る,える／うる,"có được, thu được"
音： とく,得意,とくい,thế mạnh
,取得,しゅとく,"giành được, lấy được"
,所得,しょとく,thu thập
,損得,そんとく,sự lỗ lãi
"６９８
N5",復,Phục,Hồi phục
音： ふく,復習,ふくしゅう,ôn tập
,復元,ふくげん,phục nguyên
,復活,ふっかつ,sống lại
,復興,ふっこう,phục hưng
,回復,かいふく,hồi phục
