"1361
CÔ GUỘT TỰ BỔ SUNG,碁石,ごいし,quân cờ đá
,囲碁,いご,cờ vây
,,,
,,,
CÔ GUỘT TỰ BỔ SUNG,磁場,じば,từ trường
,磁針,じしん,kim nam châm
,電磁,でんじ,điện từ
,地磁気,ちじき,"từ trường, từ tính trái đất"
140１ N2,碑,Bi,Bia đá
音： ひ,碑文,ひぶん,chữ khắc trên bia đá
,墓碑,ぼひ,bia mộ
,詩碑,しひ,"bài thơ khắc trên bia đá, tượng dài thơ ca"
,石碑,せきひ,bia đá
,建碑,けんぴ,"xây đài, xây bia tưởng niệm"
140２ N4,確,Xác,Xác nhận
訓,確か,たしか,"đúng, chính xác,"
,確かに,たしかに,"chắc chắn, quả thật"
,（を）確かめる,（を）たしかめる,"xác nhận, làm rõ"
音： かく,確保,かくほ,"bảo hộ, bảo đảm"
,確実,かくじつ,"chắc chắn, chính xác"
140３ N3,磨,Ma,"Chà, đánh bóng"
訓,（を）磨く,（を）みがく,"đánh bóng, chà, mài, chải"
音： ま,磨滅,まめつ,"mòn, mài mòn"
,研磨,けんま,"mài dũa, đánh bóng, rèn giũa, rèn luyện"
,減摩,げんま,giảm ma sát
,不磨,ふま,"bất tử, trường tồn"
140４ N2,礁,Tiều,Đá ngầm
音： しょう,暗礁,あんしょう,"đạo diễn, huấn luyện viên,
quản đốc, giám sát viên"
,座礁,ざしょう,mắc cạn
,岩礁,がんしょう,đá ngầm (có nhô lên mặt nước)
,環礁,かんしょう,"rặng san hô, đảo san hô"
140５ N2,礎,Sở,"Cơ sở, nền"
訓,礎,いしずえ,"đá nền, nền tảng"
音： そ,礎石,そせき,đá nền
,基礎,きそ,"cơ bản, cơ sở, nền tảng"
,定礎,ていそ,"nền tảng, cơ sở"
"1406
N4",示,Thị,Chỉ thị
訓,（を）示す,（を）しめす,chỉ ra
,表示,ひょうじ,"biểu thị, hiển thị"
音： じ、し,例示,れいじ,minh họa bằng ví dụ
,公示,こうじ,thông báo
,示唆,しさ,"hướng dẫn, đề xuất, gợi ý"
1407,ネ,Bộ Thị,
"1408
N5",礼,Lễ,"Cúi chào, biết ơn"
音： れい、らい,礼典,れいてん,"phép xã giao, nghi thức"
,失礼,しつれい,"thất lễ, vô lễ"
