"１２０１
,爪牙,そうが,cánh tay phải
音： そう,,,
,,,
１２57,爫,Bộ Trảo,
"１２58
N2",爵,Tước,"bá tước, chức vị"
音： しゃく,爵位,しゃくい,"tước vị, chức tước"
,男爵,だんしゃく,nam tước
,,,
,,,
,,,
"１２59
N5",父,Phu,Cha
訓,父,ちち,cha
,お父さん,おとうさん,cha người ta
音： ふ,祖父,そふ,ông
,義父,ぎふ,cha nuôi
,養父,ようふ,cha đỡ đầu
"１２60
N4",片,Phiến,Một chiều
訓,片,かた,một bên
音： へん,破片,はへん,"mảnh vụn, mảnh vỡ"
,断片,だんぺん,"mảnh, phần rời rạc"
,紙片,しへん,mảnh giấy
,木片,もくへん,"khối dỗ, miếng gỗ"
"１２６１
N2",版,Bản,Xuất bản
音： はん,版画,はんが,tranh khắc gỗ
,版権,はんけん,bản quyền
,初版,しょはん,xuất bàn đầu tiên
,図版,ずはん,"bọc, sự minh họa, xuất hiện"
,出版,しゅつばん,xuất bản
"１２６２
N2",牙,Nha,"Răng nanh, ngà"
訓,牙,きば,"Răng nanh, ngà"
音： が、げ,歯牙,しが,"không lưu ý, không để ý"
,毒牙,どくが,răng nanh có độc
,牙城,がじょう,thành lũy bên trong
,象牙,ぞうげ,ngà voi
"１２６３
N5",牛,Ngưu,Con bò
訓,牛,うし,con bò
音： ぎゅう,牛肉,ぎゅうにく,thịt bò
,牛歩,ぎゅうほ,"bước đi chậm, tiến triển chậm"
,闘牛,とうぎゅう,đầu bò
,水牛,すいぎゅう,con trâu
１２６４,牜,Bộ Ngưu,
"１２６５
N5",物,Vật,Vật thể
訓,物,もの,đồ vật nói chung
音： ぶつ、もつ,実物,じつぶつ,thực chất
,物価,ぶっか,vật giá
,食物,しょくもつ,"đồ ăn, thực phẩm"
,作物,さくもつ,hoa màu
"１２66
N2",牧,Mục,Bãi chăn nuôi
訓,牧,まき,đồng cỏ
音： ぼく,牧師,ぼくし,linh mục
,牧場,ぼくじょう,đồng cỏ
,遊牧,ゆうぼく,du mục
,放牧,ほうぼく,sự chăn thả
"１２67
N2",牲,Sinh,Hi sinh
音： せい,犠牲,ぎせい,sự hy sinh
,,,
,,,
,,,
,,,
"１２68
N5",特,Đặc,Đặc biệt
訓,特に,とくに,đặc biệt
音： とく,特別,とくべつ,đặc biệt
,特定,とくてい,"đặc định, định trước"
,特捜,とくそう,khảo sát đặc biệt
,独特,どくとく,sự độc đáo
"１２69
N2",犠,Hy,Hy sinh
音： ぎ,犠牲,ぎせい,phẩm chất hy sinh
,犠打,ぎだ,cú đánh hy sinh (bóng chày)
,供犠,くぎ,động vật cúng thần
,,,
,,,
"１２70
N5",犬,Khuyển,Con chó
訓,犬,いぬ,con chó
音： けん,犬歯,けんし,răng nanh
,野犬,やけん,chó hoang
,狂犬,きょうけん,chó điên
,盲導犬,もうどうけん,chó dẫn đường
１２71,犭,Bộ Khuyển,
"１２72
N3",犯,Phạm,Phạm tội
訓,（を）犯す,（を）おかす,vi phạm
音： はん,犯行,はんこう,Phạm tội
,防犯,ぼうはん,sự phòng chống tội phạm
,共犯,きょうはん,đồng phạm
,再犯,さいはん,tái phạm
"１２73
N3",状,Trạng,Trạng thái
音： じょう,状態,じょうたい,traạng thái
,現状,げんじょう,hiện trạng
,形状,けいじょう,"hình thù, hình dạng"
,訴状,そじょう,kiến nghị
,異状,いじょう,"dị dạng, sự khác thường"
"１２74
N2",狂,Cuồng,Cuồng nhiệt
訓,（が）狂う,（が）くるう,"điên, mất trí, hỏng hóc"
,狂おしい,くるおしい,làm tức giận
音： きょう,狂乱,きょうらん,sự mãnh liệt
,狂人,きょうじん,"người mất trí, khùng"
,熱狂,ねっきょう,sự điên dại (yêu)
"１２75
N2",狙,Thư,Nhắm tới
訓,（を）狙う,（を）ねらう,"nhắm vào, nhắm tới"
,狙い,ねらい,"mục đích, mục tiêu"
音： そ,狙撃,そげき,"đâm chồi, bắn tỉa"
,,,
,,,
"１２76
N4",独,Độc,Một mình
訓,独り,ひとり,"đơn độc, độc thân, một mình"
音： どく,独立,どくりつ,độc lập
,独自,どくじ,"độc đáo, riêng"
,独身,どくしん,độc thân
,単独,たんどく,đơn độc
"１２77
N4",狭,Hiệp,Hẹp
訓,（を）狭める,（を）せばめる,thu hẹp
,（が）狭まる,（が）せばまる,thắt nhỏ lại
,狭い,せまい,hẹp
音： きょう,狭義,きょうぎ,nghĩa hiệp
,偏狭,へんきょう,"hẹp hòi, nhỏ mọn"
"１２78
N2",狩,Thú,"Đi săn, săn bắt"
訓,（を）狩る,（を）かる,săn bắt
,狩り,かり,"gom, hái, nhặt, lượm"
音： しゅ,狩猟,しゅりょう,đi săn
,,,
,,,
"１２79
N2",猛,Mãnh,Mãnh liệt
音： もう,猛暑,もうしょ,nóng khủng khiếp
,猛獣,もうじゅう,mãnh thú
,猛攻,もうこう,dữ tợn
,猛威,もうい,"sự giận dữ, sức mạnh, dọa nạt"
,猛追,もうつい,sự đuổi theo ráo riết
"１２80
N2",猟,Liệp,Săn bắt
音： りょう,猟師,りょうし,người đi săn nói chung
,猟犬,りょうけん,chó săn
,猟人,りょうじん,thợ săn
,密猟,みつりょう,"săn bắt trộm, câu trộm"
,漁猟,ぎょりょう,sự câu cá và đi săn
