"1841
音： けい,軽妙,けいみょう,"dí dỏm, hóm hỉnh"
,軽量,けいりょう,nhẹ cân
,軽傷,けいしょう,vết thương nhẹ
"1912
N2",軸,Trục,Cái trục
音： じく,軸,じく,cái trục
,軸足,じくあし,"chân trụ, chân trục quay"
,基軸,きじく,cốt lõi
,主軸,しゅじく,trục chính
,中軸,ちゅうじく,trục giữa
"1913
N2",較,Giảo,So sánh
音： かく、こう,較差,かくさ,độ biến thiên
,較正,こうせい,hiệu chỉnh
,較量,こうりょう,so sánh
"1914
N3",載,Tải,Đăng báo
訓,（を）載せる,（を）のせる,"đăng tải, đăng lên"
,（が）載る,（が）のる,được đưa lên
音： さい,記載,きさい,"mô tả, ghi chép"
,搭載,とうさい,"tích hợp sẵn, trang bị sẵn"
,積載,せきさい,trọng tải
"1915
N3",輪,Luân,"Vòng tròn, bánh xe"
訓,指輪,ゆびわ,nhẫn
音： りん,大輪,たいりん,"bánh xe lớn, bông hoa lớn"
,競輪,けいりん,đua xe đạp
,車輪,しゃりん,bánh xe
,両輪,りょうりん,hai bánh
"1916
N2",輝,Huy,Chiếu sáng
訓,（が）輝く,（が）かがやく,"tỏa sáng, chiếu sáng"
音： き,輝度,きど,độ sáng
,輝線,きせん,tàu hơi nước
,光輝,こうき,"huy hoàng, tráng lệ"
"1917
N3",輩,Bối,"Bạn (học,làm)"
音： はい,輩出,はいしゅつ,"nảy nở, sản sinh ra"
,先輩,せんぱい,"tiền bối, đàn anh"
,後輩,こうはい,"hậu bối, đàn em"
,老輩,ろうはい,về hưu
,軽輩,けいはい,"tay chân, thuộc hạ"
"1918
N4",輸,Thâu,Chuyên chở
音： ゆ,輸送,ゆそう,"vận tải, chuyên chở"
,輸出,ゆしゅつ,xuất khẩu
,運輸,うんゆ,"vận tải, chuyên chở"
,密輸,みつゆ,buôn lậu
,禁輸,きんゆ,lệnh cấm vận
"1919
N2",轄,Hạt,Cai quản
音： かつ,管轄,かんかつ,có thẩm quyền
,所轄,しょかつ,"thẩm quyền, quyền lực"
,統轄,とうかつ,"giám sát, điều khiển"
"1920
N5",辛,Tân,"Cay, khổ cực"
,辛い,からい,cay
,辛い,つらい,khổ cực
,辛うじて,かろうじて,khó khăn lắm mới…
音： しん,辛抱,しんぼう,"kiên nhẫn, chịu đựng"
,辛勝,しんしょう,chiến thắng khó khăn
