"998
N4",材,Tài,,Vật liệu,
音： ざい,材料,ざいりょう,,"vật liệu, chất liệu",
,人材,じんざい,,nhân tài,
,取材,しゅざい,,thu thập thông tin viết báo,
,教材,きょうざい,,tài liệu dạy học,
,食材,しょくざい,,nguyên liệu chế biến thức ăn,
"999
N5",束,Thúc,,"Bó, gói",
訓,束,たば,,"bó, gói",
音： そく,約束,やくそく,,"hứa, hẹn",
,結束,けっそく,,"đoàn kết, gắn kết",
,収束,しゅうそく,,"hội tụ, quy tụ",
,,,,,
"1000
N3",条,Điều,,Điều kiện,
音： じょう,条文,じょうぶん,,điều khoản,
,条例,じょうれい,,điều lệ,
,条件,じょうけん,,điều kiện,
,条約,じょうやく,,điều ước,
,信条,しんじょう,,"niềm tin, giáo lý",
"1001
N2",杉,Sam,,Cây thông Nhật,
訓,杉,すぎ,,cây thông nhật,
,,,,,
"1002
N5",林,Lâm,,Rừng thưa,
訓,林,はやし,,"rừng cây, rừng thưa",
音： りん,林業,りんぎょう,,lâm nghiệp,
,森林,しんりん,,rừng rậm,
,山林,さんりん,,rừng cây trên núi,
,農林,のうりん,,nông lâm,
"1003
N5",東,Đông,,Phía đông,
訓,東,ひがし,,phía đông,
音： とう,東南,とうなん,,hướng đông nam,
,東北,とうほく,,hướng đông bắc,
,東洋,とうよう,,đông dương,
,東亜,とうあ,,đông á,
"1004
N3",板,Bảng,,Mảnh ván,
訓,板,いた,,mảnh ván,
音： ばん、ぱん,基板,きばん,,bàn cơ,
,黒板,こくばん,,bảng đen,
,看板,かんばん,,bảng hiệu,
,鉄板,てっぱん,,"tấm sắt, vỉ sắt",
"1005
N5",果,Quả,,Kết quả,
訓,（を）果たす,（を）はたす,,hoàn thành,
,（が）果てる,（が）はてる,,"xong, hết , vô cùng, đến cùng",
,果たして,はたして,,"quả thật là, rốt cuộc là",
音： か,果実,かじつ,,"quả, trái",
,効果,こうか,,hiệu quả,
"1006
N2",松,Tùng,,Cây thông,
訓,松,まつ,,cây thông,
音： しょう,老松,ろうしょう,,cây thông nhiều năm tuổi,
,,,,,
"1007
N4",枝,Chi,,"Cành, nhánh",
訓,枝,えだ,,"cành cây, nhánh cây",
音： し,枝葉,しよう,,"cánh và lá, phần phụ",
,,,,,
"1008
N4",枚,Mai,,"Tờ, đếm vật mỏng",
音： まい,枚数,まいすう,,"số tờ, mấy tấm, mấy cái áo",
,枚挙,まいきょ,,đếm,
,何枚,なんまい,,mấy tờ,
,大枚,たいまい,,một xấp lớn tiền,
,,,,,
"1009
N4",杯,Bôi,,"đv đếm ly, chén",
訓,杯,さかずき,,ly/chén uống rượu,
音： ぱい、ばい、はい,乾杯,かんぱい,,cụng ly,
,満杯,まんぱい,,"đầy ly, ngập tràn",
,何杯,なんばい,,mấy ly,
,二杯,にはい,,2 ly,
"1010
N2",枢,Khu,,Trục,
音： すう,枢機,すうき,,"chủ chốt, quan trọng",
,枢要,すうよう,,chủ chốt,
,枢軸,すうじく,,trục trọng tâm,
,枢密,すうみつ,,bí mật,
,中枢,ちゅうすう,,"trung khu, trung tâm",
"1011
N2",析,Tích,,Phân tích,
音： せき,析出,せきしゅつ,,"kết tủa lại, lắng đọng lại",
,分析,ぶんせき,,phân tích làm rõ,
,解析,かいせき,,phân tích tìm nguyên nhân,
,透析,とうせき,,lọc,
,晶析,しょうせき,,kết tinh,
"1012
N2",枠,Khung,,"Khung, khuôn gỗ",
訓,枠,わく,,"khung, khuôn gỗ, khuôn khổ",
"1013
N2",枕,Chẩm,,Cái gối,
訓,枕,まくら,,cái gối,
"1014
N3",柱,Trụ,,Cây cột,
訓,柱,はしら,,"cái trụ, cái cột",
音： ちゅう,柱面,ちゅうめん,,mặt cong hình trụ,
,電柱,でんちゅう,,trụ điện,
,支柱,しちゅう,,"trụ đỡ, trụ cột, điểm tựa",
,鉄柱,てっちゅう,,trụ sắt,
"1015
N3",栄,Vinh,,Phồn vinh,
訓,（が）栄える,（が）さかえる,,"thịnh vượng, lên cao trào",
,（が）栄える,（が）はえる,,"tỏa sáng, hài hòa, nổi bật",
音： えい,栄光,えいこう,,"vinh quang, thanh danh, danh tiếng",
,栄養,えいよう,,"dinh dưỡng, chất dinh dưỡng",
,光栄,こうえい,,"cảm thấy vinh dự, vinh hạnh",
"1016
N3",査,Tra,,Điều tra,
音： さ,査察,ささつ,,thị sát,
,検査,けんさ,,"xét nghiệm, kiểm tra, kiểm nghiệm",
,調査,ちょうさ,,"tìm hiểu, thăm dò, xem xét",
,審査,しんさ,,"xét duyệt, thẩm tra",
,考査,こうさ,,kiểm tra đánh giá,
"1017
N3",染,Nhiễm,,"Nhuộm, ô nhiễm",
訓,（を）染める,（を）そめる,,"nhuộm màu, nhúng tay vào",
,（が）染まる,（が）そまる,,"được nhuộm màu, đổi sang màu",
,（に）染みる,（に）しみる,,"ngấm, thấm, đau buốt, bị nhiễm",
,染み,しみ,,"vết dơ, kí ức đáng quên,
vết tàn nhan",
音： せん,感染,かんせん,,lây nhiễm bệnh,
"1018
N3",枯,Khô,,Khô héo,
訓,（を）枯らす,（を）からす,,làm khô héo,
,（が）枯れる,（が）かれる,,bị khô héo,
音： こ,枯死,こし,,cây cỏ chết khô,
,枯渇,こかつ,,"nước khô cạn, tài nguyên cạn kiệt",
,,,,,
"1019
N4",柔,Nhu,,Mềm,
訓,柔らかい,やわらかい,,"mềm, linh hoạt, nhẹ nhàng",
,柔らか（な）,やわらか（な）,,"mềm, linh hoạt, nhẹ nhàng",
音： じゅう、にゅう,柔道,じゅうどう,,môn võ judo,
,柔軟,じゅうなん,,"mềm dẻo, linh hoạt, mềm mỏng",
,柔和,にゅうわ,,"dịu dàng, trìu mến",
"1020
N3",柄,Bính,,"Kiểu, tính cách",
訓,柄,がら,,"vóc dáng, hoa văn,
nhân phẩm, đặc điểm",
音： へい,横柄,おうへい,,"kiêu căng, vô lễ",
,権柄,けんぺい,,"thái độ hống hách,
thái độ cậy quyền",
"1021
N2",架,,Giá,,Bắc cầu
訓,（を）架ける,,（を）かける,,bắc lên
,（が）架かる,,（が）かかる,,được bắc lên
音： か,架空,,かくう,,"hư cấu, điều tưởng tượng"
,書架,,しょか,,giá để sách
,担架,,たんか,,cái cáng
"1022
N2",某,,Mỗ,,"Tôi, không rõ"
音： ぼう,某日,,ぼうじつ,,một ngày nọ
,某月,,ぼうげつ,,một tháng nọ
,某氏,,ぼうし,,một người nọ
,某所,,ぼうしょ,,một nơi nọ
,某国,,ぼうこく,,một đất nước nọ
"1023
N2",柳,,Liễu,,Cây liễu
訓,柳,,やなぎ,,cây liễu
音： りゅう,川柳,,せんりゅう,,thể loại thơ hài
,花柳界,,かりゅうかい,,"giới lầu xanh, giới phong lưu"
,花柳病,,かりゅうびょう,,bệnh hoa liễu
,,,,,
"1024
N2",柿,,Thị,,Cây hồng
訓,柿,,かき,,"cây hồng, quả hồng"
,,,,,
"1025
N2",柵,,Sách,,Hàng rào
音： さく,鉄柵,,てっさく,,hàng rào sắt
,,,,,
"1026
N2",栃,,Giẻ,,Một loại hạt dẻ
訓,栃木県,,とちぎけん,,tỉnh Tochigi
,,,,,
"1027
N5",校,,Hiệu,,Trường học
,校長,,こうちょう,,hiệu trưởng
音： こう,高校,,こうこう,,trường cấp 3
,全校,,ぜんこう,,toàn trường
,登校,,とうこう,,đến trường
,同校,,どうこう,,cùng trường
"1028
N3",根,,Căn,,Rễ
訓,根,,ね,,rễ
音： こん,根本,,こんぽん,,căn bản
,根幹,,こんかん,,"phần chính, phần cốt lõi"
,根絶,,こんぜつ,,"diệt tận gốc, xóa sổ"
,大根,,だいこん,,cải trắng
"1029
N4",案,,Án,,Đề án
訓,（を）案（じる／ずる）,,（を）あん（じる／ずる）,,"băn khoăn suy nghĩ, lo lắng"
音： あん,草案,,そうあん,,bản soạn nháp
,法案,,ほうあん,,dự thảo luật
,原案,,げんあん,,"phương án, kế hoạch ban đầu"
,立案,,りつあん,,"lên kế hoạch, lập kế hoạch"
"1030
N2",梅,,Mai,,Cây mơ
訓,梅,,うめ,,cây mơ
音： ばい,梅雨,,ばいう,,tháng mưa nhiều trong năm
,梅花,,ばいか,,hoa mơ
,入梅,,にゅうばい,,bắt đầu vào tháng mưa nhiều
,紅梅,,こうばい,,"cây mơ hồng, màu hồng đậm"
"1031
N5",桜,,Anh,,Cây anh đào
訓,桜,,さくら,,cây anh đào
音： おう,桜花,,おうか,,hoa anh đào
,桜桃,,おうとう,,trái anh đào
,観桜,,かんおう,,ngắm hoa anh đào
,,,,,
"1032
N5",格,,Cách,,Tính cách
音： かく、こう,人格,,じんかく,,nhân cách
,性格,,せいかく,,tính cách
,合格,,ごうかく,,thi đậu
,本格,,ほんかく,,chính thức
,格子,,こうし,,song cửa
"1033
N3",株,,"Chu, Châu",,"Cổ phần, gốc cây"
訓,株,,かぶ,,"cổ phần, gốc cây"
,,,,,
"1034
N3",桃,,Đào,,Cây đào
訓,桃,,もも,,cây đào
音： とう,白桃,,はくとう,,quả đào trắng
,,,,,
"1035
N2",桑,,Tang,,Cây dâu
訓,桑,,くわ,,cây dâu
音： そう,桑園,,そうえん,,vườn dâu
,扶桑,,ふそう,,"nước Nhật, một loại cây thần"
"1036
N2",核,,Hạch,,Hạt nhân
音： かく,核心,,かくしん,,"phần trọng tâm, quan trọng"
,核酸,,かくさん,,axít nucleic
,核分裂,,かくぶんれつ,,sự phân rã hạt nhân
,中核,,ちゅうかく,,bộ phận quan trọng
,結核,,けっかく,,bệnh lao
"1037
N3",栽,,Tài,,Trồng cây
音： さい,盆栽,,ぼんさい,,cây cảnh
,植栽,,しょくさい,,trồng cây
,*前栽,,せんざい,,"vườn hoa, vườn cảnh"
,,,,,
,,,,,
"1038
N2",桟,,Sạn,,Gỗ lót sàn
音： さん,桟橋,,さんばし,,cầu dẫn ở bến tàu
,桟敷,,さんじき,,băng ghế dành cho khán giả
"1039
N2",栓,,Xuyên,,"Then cửa, nút"
音： せん,栓抜き,,せんぬき,,cái khui nắp
,血栓,,けっせん,,nghẽn mạch máu
,活栓,,かっせん,,"van nước, vòi nước"
,水道栓,,すいどうせん,,vòi nước máy
,消火栓,,しょうかせん,,bình chữa cháy
"1040
N2",桁,,Hành,,Cột số
訓,桁,,けた,,cột số
音： こう,衣桁,,いこう,,giá treo quần áo
