"1921
,（が）進む,（が）すすむ,"tiến tới, tiến lên, tiến triển, tiến bộ"
音： しん,進出,しんしゅつ,"tiến về trước, mở rộng (đầu tư, lĩnh vực)
, thăng tiến"
,進展,しんてん,"tiến triển, phát triển"
,進,きゅうしん,"cấp tiến, tiến triển nhanh"
"1954
N2",逮,Đãi,Đuổi bắt
音： たい,逮捕,たいほ,"bắt giữ, bỏ tù, tóm"
"1955
N2",逸,Dật,Chia ra
訓,（を）逸らす,（を）そらす,"trốn tránh, lảng tránh"
,（が）逸れる,（が）それる,"lệch, trượt"
,（に）逸れる,（に）はぐれる,"lạc mất, vuột mất"
音： いつ,逸話,いつわ,giai thoại
,秀逸,しゅういつ,"xuất sắc, thông minh"
"1956
N2",逢,Phùng,Gặp
訓,（に／と）逢う,（に／と）あう,"gặp, gặp gỡ"
音： ほう,逢着,ほうちゃく,"gặp tình cờ, bắt gặp"
"1957
N5",道,Đạo,Con đường
訓,道,みち,con đường
,道路,どうろ,đường giao thông
音： どう、とう,鉄道,てつどう,đường sắt
,人道,じんどう,nhân đạo
,神道,しんとう,thần đạo
"1958
N5",運,Vận,Vận chuyển
訓,（を）運ぶ,（を）はこぶ,"vận chuyển, mang vác"
音： うん,運営,うんえい,"vận hành, quản lý"
,不運,ふうん,"hạn vận, không may, xui xẻo"
,機運,きうん,"thời cơ, cơ hội"
,開運,かいうん,"vận may, may mắn"
"1959
N5",遊,Du,Chơi
訓,遊び,あそび,vui chơi
,遊ぶ,あそぶ,vui chơi
音： ゆう、ゆ,遊園地,ゆうえんち,khu vui chơi giải trí
,遊泳,ゆうえい,bơi lội
,遊山,ゆさん,đi dã ngoại
"1960
N4",達,Đạt,Đạt đến
訓,（に）達する,（に）たっする,đạt đến
音： たつ,達成,たっせい,"đạt được, hoàn thành"
,調達,ちょうたつ,"cung ứng, cung cấp"
,通達,つうたつ,thông báo
,発達,はったつ,phát triển
"1961
N4",過,Quá,"Đi qua, sai lầm"
訓,（を）過ごす,（を）すごす,"trải qua, sống"
,（を）過ぎる,（を）すぎる,quá…
,過つ,あやまつ,"sai lầm, lỗi lầm"
音： か,過労死,かろうし,chết vì lao lực
,経過,けいか,trải qua
"1962
N5",遅,Trì,Chậm trễ
訓,遅い,おそい,"chậm, trễ"
,（を）遅らす,（を）おくらす,"trì hoãn, làm chậm trễ"
,（に）遅れる,（に）おくれる,chậm trễ
音： ち,遅配,ちはい,giao hàng trễ
,遅着,ちちゃく,đến trễ
"1963
N2",遇,Ngộ,Đãi ngộ
音： ぐう,待遇,たいぐう,"đãi ngộ, tiếp đãi"
,優遇,ゆうぐう,ưu đãi
,処遇,しょぐう,"đối xử, đối đãi"
,境遇,きょうぐう,"hoàn cảnh, tính huống, điều kiện"
,奇遇,きぐう,"kỳ ngộ, trùng hợp, tình cờ"
"1964
N2",遂,Toại,Thành tựu
訓,（を）遂げる,（を）とげる,"đạt tới, đạt được, thực hiện được"
音： すい,遂行,すいこう,hoàn thành
,未遂,みすい,"chưa đạt được, chưa hoàn thành"
,完遂,かんすい,hoàn thành
,既遂,きすい,"đã hoàn thành, đã gây ra"
"1965
N2",遍,Biến,"Khắp cùng, lần"
音： へん,遍路,へんろ,"hành hương, người hành hương"
,遍歴,へんれき,"đi khắp nơi, phiêu bạt,
nhiều kinh nghiệm"
,遍在,へんざい,"lan tỏa, có ở khắp nơi"
,普遍,ふへん,"phổ biến, phổ thông"
,一遍,いっぺん,1 lần
"1966
N4",遠,Viễn,Xa
訓,遠い,とおい,xa
音： えん、おん,遠足,えんそく,"đi chơi xa, dã ngoại, du ngoạn"
,永遠,えいえん,"vĩnh viễn, mãi mãi"
,望遠鏡,ぼうえんきょう,kính viễn vọng
,久遠,くおん,"mãi mãi, vĩnh viễn"
"1967
N4",違,Vi,"Sai, khác"
訓,（を）違える,（を）ちがえる,nhầm lẫn
,（が）違う,（が）ちがう,"sai, khác"
音： い,違反,いはん,vi phạm
,違和感,いわかん,"cảm giác khác khác,
sai sai, khó chịu"
,相違,そうい,sự khác nhau
"1968
N2",遣,Khiển,Cử đi
訓,（を）遣わす,（を）つかわす,"cử đi, phái đi"
,（を）遣う,（を）つかう,"gửi đi, cho tặng, đối xử,"
音： けん,派遣,はけん,phái đi
,差遣,さけん,"cử đi, phái đi"
,分遣,ぶんけん,tách ra phái đi
"1969
N4",適,Thích,Thích hợp
訓,（に）適する,（に）てきする,thích hợp
音： てき,適時,てきじ,đúng lúc
,適度,てきど,"vừa phải, chừng mực, điều độ"
,適切,てきせつ,"thích đáng, thích hợp"
,適応,てきおう,"thích ứng, tương thích"
"1970
N3",遭,Tao,Gặp nạn
訓,（に）遭う,（に）あう,gặp phải
音： そう,遭難,そうなん,gặp nạn
,遭遇,そうぐう,"bắt gặp, tình cờ gặp, gặp bất ngờ"
"1971
N2",遮,Già,Gián đoạn
訓,（を）遮る,（を）さえぎる,"chặn, cắt ngang, ngáng"
音： しゃ,遮断,しゃだん,"cắt đứt, gián đoạn (điện, nước…)"
,遮光,しゃこう,chắn sáng
"1972
N2",遡,Tố,Ngược dòng
訓,（を）遡る,（を）さかのぼる,"lội ngược dòng, ngoái lại"
音： そ,遡行,そこう,đi ngược dòng
,遡源,そげん,về nguồn gốc
,遡求,そきゅう,chuộc lại
,遡上,そじょう,ngược dòng
"1973
N2",遜,Tốn,Khiêm tốn
音： そん,遜色,そんしょく,"thấp hơn, kém hơn"
,不遜,ふそん,"kiêu căng, ngạo mạn,
hỗn láo, bất kính"
,謙遜,けんそん,khiêm tốn
"1974
N4",選,Tuyển,Lựa chọn
訓,（を）選ぶ,（を）えらぶ,lựa chọn
,選出,せんしゅつ,"đề cử, bầu ra"
,予選,よせん,"sơ tuyển, sơ khảo, vòng loại"
,当選,とうせん,"trúng cử, trúng giải, giành được"
,落選,らくせん,"không trúng cử, không được chọn"
"1975
N2",遺,Di,Để lại
音： い、ゆい,遺産,いさん,"di sản, tài sản để lại"
,遺跡,いせき,di tích
,遺骨,いこつ,"hài cốt, di hài"
,遺体,いたい,di thể
,遺言,ゆうごん,"di ngôn, di chúc, lời trăn chối"
"1976
N2",遵,Tuân,"Tuân theo, vâng lời"
音： じゅん,遵奉,じゅんぽう,"tuân theo, vâng lời"
,遵守,じゅんしゅ,tuân thủ
,遵法,じゅんぽう,tuân thủ pháp luật
,遵行,じゅんこう,"vâng lời, tuân theo"
"1977
N2",遷,Thiên,"Dời đi, đẩy đi"
音： せん,遷都,せんと,dời đô
,遷移,せんい,"di dời, di chuyển, chuyển tiếp"
,遷延,せんえん,trì hoãn
,左遷,させん,"miễn nhiệm, hạ chức,
thuyên chuyển công tác"
,変遷,へんせん,"chuyển biến, thăng trầm"
"1978
N3",避,Tỵ,Tránh
訓,（を）避ける,（を）さける／よける,"tránh né, trốn tránh, phòng tránh"
音： ひ,避難,ひなん,"tỵ nạn, lánh nạn"
,避妊,ひにん,"tránh thai, ngừa thai"
,避暑,ひしょ,tránh nóng
,回避,かいひ,"tránh né, trốn tránh"
"1979
N2",還,Hoàn,"Trở về, trả lại"
音： かん,還付,かんぷ,"trở lại, phục hồi, hoàn trả"
,還流,かんりゅう,"chảy ngược, dòng ngược, chưng cất"
,還元,かんげん,trả lại nguyên trạng
,償還,しょうかん,trả lại
,奪還,だっかん,"đoạt lại, dành lại"
1980,～阝,Bộ Ấp,
"1981
N2",邦,Bang,Nhật Bản
音： ほう,邦楽,ほうがく,nhạc Nhật
,邦人,ほうじん,Nhật kiều
,異邦,いほう,nước ngoài
,友邦,ゆうほう,nước láng giềng
,連邦,れんぽう,liên bang
"1982
N2",那,Ná,Nhiều
音： な,旦那,だんな,"ông chồng, ông chủ"
,刹那,せつな,"khoảng khắc, tức khắc"
"1983
N3",邪,Tà,Gian tà
音： じゃ,邪魔,じゃま,"trở ngại, quấy rầy, phiền hà"
,邪悪,じゃあく,"tội lỗi, xấu xa"
,邪道,じゃどう,"con đường bất chính,
cách làm khác thường"
,邪推,じゃすい,"nghĩ xấu, đoán chừng,
xuy xét không tốt"
,*風邪,かぜ,bị cảm
"1984
N2",邸,Để,Dinh tự
音： てい,邸宅,ていたく,dinh thự
,邸内,ていない,trong dinh
,私邸,してい,nhà riêng
,官邸,かんてい,"văn phòng, trụ sở"
,別邸,べってい,biệt thự
"1985
N3",郎,Lang,Chồng
音： ろう,新郎,しんろう,chú rể
,野郎,やろう,kẻ bất lương
,郎党,ろうどう,"hầu cận, tùy tùng, đầy tớ"
"1986
N4",郊,Giao,Ngoại ô
音： こう,郊外,こうがい,"ngoại ô, ngoại thành"
,近郊,きんこう,vùng ngoại ô
"1987
N2",郡,Quận,"Quận, khu"
,郡部,ぐんぶ,"huyện, khu vực thuộc 1 tỉnh"
音： ぐん,郡県,ぐんけん,tỉnh và huyện
,郡長,ぐんちょう,huyện trưởng
"1988
N5",都,Đô,Thủ đô
訓,都,みやこ,thủ đô
音： と、つ,都内,とない,nội thành thủ đô
,都心,としん,"thủ phủ, trung tâm thành phố"
,都合,つごう,"sự thuận tiện về hoàn cảnh thời gian,
điều kiện"
,都度,つど,"mỗi lần, mỗi khi"
"1989
N5",部,Bộ,Bộ phận
