"４８１
,検察,けんさつ,kiểm tra
,視察,しさつ,giám sát
,観察,かんさつ,quan sát
"５４７
N2",寡,Quả,Quả phụ
音： か,寡占,かせん,sự độc chiếm
,寡婦,かふ,quả phụ
,寡黙,かもく,"sự ít nói, sự kiệm lời"
,寡言,かげん,sự ít nói
,多寡,たか,ít nhiều
"５４８
N2",寧,Ninh,Yên ổn
音： ねい,丁寧,ていねい,"lịch sự, chỉnh chu, cẩn thận"
,安寧,あんねい,"sự yên ổn, nền hòa bình"
,康寧,こうねい,bình an vô sự
,,,
,,,
"５４９
N2",審,Thẩm,Thẩm tra
音： しん,審議,しんぎ,"sự xem xét, sự hội ý"
,審査,しんさ,cuộc thẩm tra
,審判,しんぱん,"thẩm phán, trọng tài"
,審理,しんり,việc điều tra làm rõ
,再審,さいしん,phúc thẩm
"５５０
N4",寮,Liêu,Ký túc xá
訓,寮,りょう,ký túc xá
,,,
,,,
,,,
"５５１
N5",寸,Thốn,Khoảng 3 cm
"５５２
N5",寺,Tự,Chùa
訓,寺,てら,ngôi chùa
音： じ,寺院,じいん,đền chùa
,古寺,こじ,chùa cổ
"５５３
N4",対,Đối,Phản đối
訓,対,つい,"đôi, cặp"
音： たい,対応,たいおう,"sự đối ứng, sự ứng phó"
,対策,たいさく,đối sách
,対象,たいしょう,đối tượng
,反対,はんたい,sự phản đối
"５５４
N3",寿,Thọ,Sống lâu
訓,寿,ことぶき,sự sống thọ
音： じゅ、す,寿命,じゅみょう,tuổi thọ
,万寿,ばんじゅ,trường thọ
,長寿,ちょうじゅ,sống lâu
,寿司,すし,món sushi
"５５５
N4",専,Chuyên,Chuyên môn
訓,専ら,もっぱら,"hầu hết, chủ yếu"
音： せん,専修,せんしゅう,chuyên môn
,専攻,せんこう,chuyên ngành
,専制,せんせい,chế độ chuyên quyền
,専任,せんにん,chuyên trách
"５５６
N4",封,Phong,Phong kiến
訓,封,ふう,việc dán thư
音： ふう,封筒,ふうとう,"bao thư, phong bì"
,封鎖,ふうさ,sự phong tỏa
,封書,ふうしょ,phong thư
,同封,どうふう,việc gửi chung trong thư
"５５７
N3",射,Xạ,"Bắn, phóng xạ"
訓,射る,いる,"bắn (tên), đúng trọng tâm"
音： しゃ,射程,しゃてい,tầm bắn
,発射,はっしゃ,"việc phóng (tên lửa), bắn (đạn)"
,注射,ちゅうしゃ,việc tiêm chủng
,放射性,ほうしゃせい,tia phóng xạ
"５５８
N5",将,Tương,Tương lai
音： しょう,将来,しょうらい,tương lai
,将軍,しょうぐん,tướng quân
,将棋,しょうぎ,cờ tướng (Nhật)
,大将,たいしょう,đại tướng
,主将,しゅしょう,đội trưởng
"５５９
N2",尉,Úy,Sĩ quan
音： い,尉官,いかん,sỹ quan
,大尉,たいい,đại úy
,中尉,ちゅうい,trung úy
,少尉,しょうい,thiếu úy
,,,
"５６０
N4",尊,Tôn,Tôn kính
訓,尊（ぶ／い）,とうと（ぶ／い）,"đánh giá cao, quý trọng"
,尊（ぶ／い）,たっと（ぶ／い）,"đánh giá cao, quý trọng"
音： そん,尊敬,そんけい,tôn kính
,尊重,そんちょう,tôn trọng
,尊厳,そんげん,tôn nghiêm
