"３２１
訓,四つ,よっつ,bốn cái
,四日,よっか,mùng bốn
,四円,よえん,bốn yên
音： し,四季,しき,bốn mùa
,四角,しかく,bốn cạnh
"３７７
N2",囚,Tù,Tù nhân
音： しゅう,囚人,しゅうじん,tù nhân
,捕囚,ほしゅう,"bỏ tù, giam cầm"
,免囚,めんしゅう,ra tù
,女囚,じょしゅう,tù nhân nữ
,幽囚,ゆうしゅう,"bỏ tù, tống giam"
"３７８
N5",回,Hồi,"Đi quanh, lần"
訓,回す,まわす,quay
,回る,まわる,quay
音： かい,回答,かいとう,lần tới
,次回,じかい,lần tới
,前回,ぜんかい,lần trước
,今回,こんかい,lần này
"３７９
N5",因,Nhân,Nguyên nhân
訓,因る,よる,"nguyên nhân, vì"
音： いん,原因,げんいん,nguyên nhân
,要因,よういん,nguyên nhân chủ yếu
,誘因,ゆういん,nguyên nhân gây ra
,*因縁,いんねん,số phận
"３８０
N4",団,Đoàn,"Nhóm, đoàn thể"
音： だん、とん,団地,だんち,khu chung cư
,団結,だんけつ,đoàn kết
,集団,しゅうだん,tập thể
,財団,ざいだん,quỹ tài trợ
,布団,ふとん,"nệm, chăn"
"３８１
N5",図,Đồ,Bản đồ
訓,図る,はかる,lập kế hoạch
音： ず、と,図式,ずしき,lên sơ đồ
,地図,ちず,bản đồ
,構図,こうず,sự hợp thành
,意図,いと,ý đồ
"３８２
N3",囲,Vi,Vây quanh
訓,囲む,かこむ,bao quanh
音： い,範囲,とろ,"phạm vi, tầm"
,包囲,ほうい,bao vây
,腹囲,ふくい,vòng bụng
,雰囲気,ふんいき,bầu không khí
"３８３
N5",困,Khốn,Khó khăn
訓,困る,こまる,bối rối
音： こん,困難,こんなん,"khó khăn, vất vả"
,困惑,こんわく,"lúng túng, mất hồn"
,困窮,こんきゅう,khốn cùng
,貧困,ひんこん,nghèo khó
"３８４
N5",国,Quốc,Đất nước
訓,国,くに,đất nước
音： こく,国内,こくない,nội địa
,国会,こっかい,quốc hội
,全国,ぜんこく,khắp nước
,天国,てんごく,thiên đường
"３８５
N5",固,Cố,Cứng
訓,固い,かたい,cứng nhắc
,固める,かためる,"củng cố, làm chắc"
,固まる,かたまる,"đông cứng lại, bết"
音： こ,固定,こてい,cố định
,断固,だんこ,kiên định
"３８６
N2",圏,Quyển,Phạm vi
音： けん,圏内,けんない,trong khu vực
,圏外,けんがい,vùng bên ngoài
,商圏,しょうけん,khu vực thương mại
,大気圏,たいきけん,khí quyển
,首都圏,しゅとけん,vùng thủ đô
"３８７
N5",園,Viên,Vườn
訓,園,その,"vườn, công viên"
音： えん,庭園,ていえん,vườn
,遊園地,ゆうえんち,khu vui chơi giải trí
,動物園,どうぶつえん,"vườn bách thú, sở thú"
,幼稚園,ようちえん,trường mầm non
"３８８
N5",土,Thổ,Đất
訓,土,つち,đất
音： ど、と,国土,こくど,lãnh thổ quốc gia
,風土,ふうど,phong thổ
,領土,りょうど,lãnh thổ
,土地,とち,đất đai
"３８９
N3",圧,Áp,"Ép, đè nén"
音： あつ,圧力,あつりょく,áp lực
,圧縮,あっしゅく,"ép, nén lại"
,弾圧,だんあつ,đàn áp
,血圧,けつあつ,huyết áp
,重圧,じゅうあつ,sức ép
"３９０
N5",地,Địa,"Trái đất, đất"
音： ち、じ,地方,ちほう,địa phương
,地球,ちきゅう,quả đất
,産地,さんち,nơi sản xuất
,地震,じしん,động đất
,地味,じみ,"giản dị, đơn giản"
"３９１
N4",在,Tại,"Ở, hiện diện"
訓,在る,ある,có
音： ざい,不在,ふざい,khiếm khuyết
,存在,そんざい,tồn tại
,滞在,たいざい,lưu lại
,現在,げんざい,hiện tại
"３９２
N3",坂,Phản,Đường dốc
訓,坂,さか,cái dốc
音： はん,登坂,とうはん,leo dốc
,,,
,,,
"３９３
N3",均,Quân,Bình quân
音： きん,均一,きんいつ,"giống nhau, đồng nhất"
,均等,きんとう,cân đối
,均衡,きんこう,cán cân
,均整,きんせい,cân xứng
,平均,へいきん,bình quân
"３９４
N3",坊,Phường,Thầy tu
