"７２１
,痛惜,つうせき,thương tiếc
,哀惜,あいせき,"sự đau buồn, sự tiếc thương"
"７７０
N2",悼,Điệu,Viếng người chết
訓,悼む,いたむ,"đau buồn, thương tiếc"
音： とう,追悼,ついとう,"sự truy điệu, sự tưởng nhớ"
,哀悼,あいとう,lời chia buồn
,,,
"７７１
N2",惧,Cụ,Lo lắng
音： ぐ,危惧,きぐ,"sợ sệt, sợ hãi, nản lòng"
,,,
"７７２
N3",慌,Hoảng,Vội vàng
訓,慌てる,あわてる,"vội vàng, luống cuống"
,慌ただしい,あわただしい,"vội vàng, hấp tấp, bận rộn"
音： こう,恐慌,きょうこう,"khủng hoảng, sự kinh hoàng"
,,,
"７７３
N2",惰,Nọa,"Lười, uể oải"
音： だ,惰気,だき,"sự lười biếng, sự biếng nhác"
,惰性,だせい,thói quen
,惰眠,だみん,người không nghề nghiệp
,勤惰,きんだ,"sự siêng năng, sự chuyên cần"
,遊惰,ゆうだ,"sự lười biếng, ham chơi"
"７７４
N3",愉,Du,Vui vẻ
音： ゆ,愉快,ゆかい,vui vẻ
,愉楽,ゆらく,"sự thoải mái, sự hài lòng"
,,,
"７７５
N3",慎,Thận,Thận trọng
訓,（を）慎む,つつしむ,"thận trọng, cẩn thận"
音： しん,慎重,しんちょう,thận trọng
,謹慎,きんしん,"thận trọng, cấm túc"
,,,
"７７６
N2",慨,Khái,"Luyến tiếc, ta thán"
音： がい,慨嘆,がいたん,lời than vãn
,感慨,かんがい,"cảm xúc, than thở"
,憤慨,ふんがい,"sự phẫn uất, sự phẫn nộ"
,,,
"７７７
N2",慄,Lật,Run sợ
音： りつ,慄然,りつぜん,sự ghê rợn
,戦慄,せんりつ,sự rùng mình
"７７８
N4",慣,Quán,"Tập quán, quen với"
訓,（を）慣らす,ならす,cho làm quen
,（が）慣れる,なれる,quen
音： かん,慣行,かんこう,việc làm theo lệ thường
,慣性,かんせい,quán tính
,慣例,かんれい,thông lệ
,慣習,かんしゅう,"thói quen, tập quán"
"７７９
N3",慢,Mạn,Kiêu hãnh
音： まん,慢心,まんしん,tính tự phụ
,慢性,まんせい,mãn tính
,自慢,じまん,tự mãn
,高慢,こうまん,sự cao ngạo
,我慢,がまん,"sự chịu đựng, kiềm chế"
"７８０
N3",憎,Tăng,Đáng ghét
訓,憎い,にくい,căm ghét
,憎らしい,にくらしい,đáng ghét
,（を）憎む,（を）にくむ,chán ghét
音： ぞう,憎悪,ぞうお,"sự căm ghét, sự căm thù"
,愛憎,あいぞう,sự yêu ghét
,,,
"７８１
N2",憤,Phẫn,Phẫn nộ
訓,憤る,いきどおる,"phẫn uất, oán giận"
音： ふん,憤死,ふんし,cái chết trong sự phẫn uất
,憤怒,ふんど,sự giận dữ
,悲憤,ひふん,sự căm uất
,発憤,はっぷん,sự hứng khởi
"７８２
N2",憬,Cảnh,Khát khao
音： けい,憧憬,しょうけい,"khát khao, ước ao"
,,,
"７８３
N2",憧,Sung,Ngưỡng mộ
訓,憧れる,あこがれる,ngưỡng mộ
