"４０１
,壊れる,こわれる,"hư, bị hỏng, đổ vỡ"
音： かい,壊滅,かいめつ,sự hủy diệt
,破壊,はかい,sự phá hoại
,崩壊,ほうかい,"sự sụp đổ, sự tan tành"
"４３４
N4",壁,Bích,Bức tường
訓,壁,かべ,bức tường
音： へき,壁画,へきが,"bích họa, bức tranh"
,壁面,へきめん,bề mặt bức tường
,側壁,そくへき,đứng bên tường
,障壁,しょうへき,"chướng ngại, cản trở"
"４３５
N2",墾,Khẩn,Khai hoang
音： こん,墾田,こんでん,ruộng lúa mới
,未墾,みこん,"chưa khai khẩn, bỏ hoang"
,開墾,かいこん,"sự khai khẩn, khai phá đất hoang"
"４３６
N2",壇,Đàn,"Bệ cao, lễ đài"
音： だん、たん,花壇,かだん,"vườn hoa, bồn hoa"
,教壇,きょうだん,bục giảng
,演壇,えんだん,"diễn đàn, bục phát biểu"
,祭壇,さいだん,"đàn tế (trời, phật), bàn thờ"
,土壇場,どたんば,"bục sân khấu, nơi hành hình, phút cuối"
"４３７
N2",壌,Nhưỡng,Đất trồng trọt
音： じょう,土壌,どじょう,"thổ nhưỡng, đất cát"
,天壌,てんじょう,thiên đàn và mặt đất
,雲壌,うんじょう,"mây và trái đất, sự khác nhau lớn"
"４３８
N5",士,Sĩ,"Lực sĩ, võ sĩ"
音： し,士官,しかん,sĩ quan
,騎士,きし,"kị sĩ, hiệp sĩ"
,紳士,しんし,quý ông
,戦士,せんし,"chiến sĩ, lính"
,保育士,ほいくし,giáo viên mầm non
"４３９
N2",壮,Tráng,Cường tráng
音： そう,壮大,そうだい,"tráng lệ, hùng vĩ"
,壮年,そうねん,"thời kỳ đầu tiên, tráng niên"
,壮絶,そうぜつ,"anh dũng (hi sinh), khốc liệt (trận chiến)"
,壮麗,そうれい,"tráng lệ, nguy nga"
,悲壮,ひそう,"bi tráng, oanh liệt"
"４４０
N5",声,Thanh,Tiếng nói
訓,声,こえ,"tiếng, giọng nói"
音： せい,声明,せいめい,"lời tuyên bố, lời công bố"
,声援,せいえん,"niềm khích lệ, tiếng hoan hô cổ vũ"
,音声,おんせい,âm thanh
