音： しょう,消費,しょうひ,việc tiêu dùng
,消化,しょうか,sự tiêu hóa
,解消,かいしょう,"sự giải quyết, sự xóa bỏ"
"１１５７
N4",流,Lưu,Dòng chảy
訓,（を）流す,（を）ながす,"làm chảy, làm lan truyền"
,（が）流れる,（が）ながれる,"trôi, chảy"
音： りゅう,流行,りゅうこう,"sự thịnh hành, sự hoành hành (bệnh)"
,流通,りゅうつう,việc lưu thông
,交流,こうりゅう,sự giao lưu
"１１５８
N5",浴,Dục,Tắm
訓,（を）浴びる,（を）あびる,tắm
,（を）浴びせる,（を）あびせる,cho tắm
音： よく,浴後,よくご,sau khi tắm
,浴室,よくしつ,phòng tắm
,入浴,にゅうよく,việc tắm
"１１５９
N2",浸,Tẩm,Thấm ướt
訓,（を）浸す,（を）ひたす,nhúng vào (nước)
,（に）浸る,（に）ひたる,"bị ngấm nước, ngâm, chìm đắm"
音： しん,浸透,しんとう,sự thẩm thấu
,浸水,しんすい,ngập nước
,浸食,しんしょく,"sự xâm thực, sự ăn mòn"
"１１６０
N2",浜,Tân,Bờ biển
訓,砂浜,すなはま,bãi cát
音： ひん,海浜,かいひん,"bờ biển, ven biển"
,養浜,ようひん,bãi cát bồi ven biển
,,,
,,,
"１１６１
N2",浮,Phù,Nổi lên
訓,（が）浮く,（が）うく,"nổi, lơ lửng"
,（が）浮かぶ,（が）うかぶ,"lơ lửng, nghĩ ra, hiện ra"
,（を）浮かべる,（を）うかべる,"làm nổi lên, thả trôi, biểu lộ"
,（に）浮かれる,（に）うかれる,hưng phấn
音： ふ,浮力,ふりょく,"sức nổi, lực nổi"
"１１６２
N4",涙,Lệ,Nước mắt
訓,涙,なみだ,nước mắt
音： るい,催涙,さいるい,việc làm chảy nước mắt
,感涙,かんるい,nước mắt cảm động
,熱涙,ねつるい,nước mắt xúc động
,血涙,けつるい,nước mắt đau khổ hay tức giận
"１１６３
N2",浪,Lãng,Lang thang
音： ろう,浪人,ろうにん,"kẻ lang thang, kẻ vô rồi nghề"
,浪費,ろうひ,sự lãng phí
,浪漫,ろうまん,"sự lãng mạn, thơ mộng, trữ tình"
,放浪,ほうろう,"sự phóng đãng, phóng túng,
sự phiêu bạt"
,波浪,はろう,sóng
"１１６４
N2",泰,Thái,To lớn
音： たい,泰然,たいぜん,"sự điềm tĩnh, sự ung dung"
,泰平,たいへい,"sự thái bình, sự yên bình"
,泰山,たいざん,núi lớn
,安泰,あんたい,"hòa bình, yên ổn"
,,,
"１１６５
N2",浦,Phổ,Bãi biển
訓,浦,うら,vịnh nhỏ
音： ほ,曲浦,きょくほ,ven biển
"１１６６
N3",深,Thâm,Sâu
,深い,ふかい,sâu
訓,（を）深める,（を）ふかめる,đào sâu
