"８１
音： じゅう,充実,じゅうじつ,sự đầy đủ
,充分,じゅうぶん,sự đầy đủ
,充電,じゅうでん,sạc điện
,充満,じゅうまん,"tràn trề, sung mãn"
"１５６
N3",児,Nhi,Nhi đồng
音： じ、に,児童,じどう,nhi đồng
,育児,いくじ,sự chăm sóc trẻ
,孤児,こじ,mồ côi
,幼児,ようじ,trẻ con
,小児科,しょうにか,khoa nhi
"１５７
N3",克,Khắc,Khắc phục
音： こく,克服,こくふく,khắc phục
,克明,こくめい,chi tiết
,克己,こっき,tự chủ
,相克,そうこく,cạnh tranh
,超克,ちょうこく,vượt qua khó khăn
"１５８
N3",免,Miễn,Bãi miễn
訓,免れる,まぬかれる,được miễn
音： めん,免許,めんきょ,sự cho phép
,免税,めんぜい,miễn thuế
,免疫,めんえき,sự miễn dịch
,減免,げんめん,miễn giảm
"１５９
N2",党,Đảng,Phe đảng
音： とう,党内,とうない,nội bộ đảng
,党首,とうしゅ,chủ tịch đảng
,政党,せいとう,chính đảng
,新党,しんとう,đảng mới
,自民党,じみんとう,đảng tự do
"１６０
N5",入,Nhập,Vào
訓,入る,はいる,đi vào
,入れる,いれる,cho vào
,気に入る,きにいる,thích
音： にゅう,入院,にゅういん,nhập viện
,輸入,ゆにゅう,nhập khẩu
