,一斤,いっきん,"một ổ (bánh mì), một quả,"
"９２１
N2",斥,Xích,Đánh đuổi
音： せき,斥力,せきりょく,"ghét, ghê tởm, lực đẩy"
,斥候,せっこう,do thám tuần tra
,除斥,じょせき,loại trừ
,排斥,はいせき,"sự bài trừ, gạt bỏ, tẩy chay"
"９２２
N3",断,Đoạn,"Từ chối, chặt đứt"
訓,（を）断る,（を）ことわる,"từ chối, chặt đứt"
,（を）断つ,（を）たつ,chấm dứt
音： だん,判断,はんだん,"phán đoán, đánh giá"
,決断,けつだん,quyết đoán
,横断,おうだん,sự băng qua
"９２３
N2",斬,Trảm,Chém
訓,（を）斬る,（を）きる,chém
音： ざん,斬新,ざんしん,"bản chính, tính mới mẻ"
,斬罪,ざんざい,"chém đầu, thi hành"
,斬首,ざんしゅ,xử trảm
,,,
"９２４
N5",新,Tân,Mới
訓,新しい,あたらしい,mới
,新た（な）,あらた（な）,mới
音： しん,新人,しんじん,người mới
,新生,しんせい,"mới sinh, mới mọc"
,最新,さいしん,"tối tân, cải cách mới"
"９２５
N5",方,Phương,"Phía, cách"
訓,方,かた,"phía, cách, vị"
音： ほう,方向,ほうこう,phương hướng
,方法,ほうほう,phương pháp
,方針,ほうしん,phương châm
,方式,ほうしき,phương thức
"９２６
N2",施,Thi,Thi hành
訓,（を）施す,（を）ほどこす,"thực thi, thi hành"
音： し、せ,施行,しこう,thi hành
,施設,しせつ,"cơ sở, thiết bị"
,実施,じっし,thực thi
,施工,せこう,thực hiện (hợp đồng tòa nhà)
"９２７
N5",旅,Lữ,Du lịch
訓,旅,たび,"chuyến đi, hành trình, du lịch"
音： りょ,旅行,りょこう,du lịch
,旅館,りょかん,chỗ trọ
,旅券,りょけん,hộ chiếu
,旅費,りょひ,"lộ phí, phí du lịch"
"９２８
N5",族,Tộc,"Dân tộc, dòng họ"
音： ぞく,部族,ぶぞく,bộ tộc
,家族,かぞく,gia đình
,民族,みんぞく,dân tộc
,親族,しんぞく,"bà con, người thân"
,水族館,すいぞくかん,thủy cung
"９２９
N2",旋,Toàn,Đi vòng tròn
音： せん,旋風,せんぷう,"cảm xúc, xúc động"
,旋律,せんりつ,giai điệu
,旋盤,せんばん,máy tiện
,周旋,しゅうせん,luân chuyển
,回旋,かいせん,"xoay tròn, cuốn lại"
"９３０
N2",旗,Kỳ,Lá cờ
訓,旗,はた,lá cờ
音： き,旗手,きしゅ,người cầm cờ
,国旗,こっき,quốc kì
,校旗,こうき,cờ của rường
,反旗,はんき,"ăn lương nữa ngày, giải lao"
"９３１
N2",既,Ký,Đã
訓,既に,すでに,"Đã, đã muộn, đã rồi"
音： き,既婚,きこん,đã kết hôn
,既成,きせい,"đã có, sẵn có"
,既定,きてい,mặc định
,既刊,きかん,đã được sản xuất
"９３２
N5",日,Nhật,"Ngày, mặt trời"
訓,休みの日,やすみのひ,ngày nghỉ
,生年月日,せいねんがっぴ,ngày tháng năm sinh
,六日,むいか,ngày 6
音： にち、じつ,毎日,まいにち,mỗi ngày
,休日,きゅうじつ,ngày nghỉ
"９３３
N2",旧,Cựu,Cũ
音： きゅう,旧暦,きゅうれき,âm lịch
,旧友,きゅうゆう,"cố nhân, người bạn cũ"
,旧制,きゅうせい,hệ thống cũ
,新旧,しんきゅう,cũ và mới
,復旧,ふっきゅう,"khôi phục cái cũ, phục chế"
"９３４
N3",旦,Đán,Nguyên đán
音： たん、だん,元旦,がんたん,nguyên đán
,月旦,げったん,"bài bình luận, chú thích"
,旦夕,たんせき,ngày và đêm
,旦那,だんな,"ông chồng, xã"
"９３５
N5",早,Tảo,Sớm
訓,早い,はやい,sớm
,（を）早める,（を）はやめる,"làm nhanh, thúc đẩy"
,（が）早まる,（が）はやまる,vội vàng
音： そう、さつ,早退,そうたい,thoái lui nhanh
,早速,さっそく,ngay lập tức
"９３６
N2",旨,Chỉ,"Tôn chỉ, chân lý"
訓,旨,むね,"chân lí, chỉ thị, thông báo, ý nghĩa"
音： し,趣旨,しゅし,"ý đồ, mục đích"
,要旨,ようし,cái cốt yếu
,本旨,ほんし,đối tượng chính
"９３７
N3",旬,Tuần,Mười ngày
音： じゅん,上旬,じょうじゅん,thượng tuần
,中旬,ちゅうじゅん,trung tuần
,下旬,げじゅん,hạ tuần
,旬間,じゅんかん,tuần gian
"９３８
N5",明,Minh,Sáng sủa
訓,明るい,あかるい,sáng sủa
,明らか（な）,あきらか（な）,"rõ ràng, hiển nhiên"
,明かり,あかり,"ánh điện, ánh sáng"
,明くる,あくる,tiếp theo
,（が）明ける,（が）あける,"mở ra, rạng sáng, hé lộ, bắt đầu"
,（を）明かす,（を）あかす,"làm rõ, vạch trần, tiết lộ"
,（が）明く,（が）あく,"mở ra, hé mở, ló rạng"
音： めい、みょう,不明,ふめい,không minh bạch
,明日,みょうにち,"hôm sau, ngày mai"
"９３９
N5",昔,Tích,Xưa cũ
訓,昔,むかし,ngày xưa
音： せき、じゃく,昔時,せきじ,thời xưa
,昔年,せきねん,năm xưa
,今昔,こんじゃく,xưa và nay
"９４０
N5",易,"Dị, Dịch","Dễ, mậu dịch"
訓,易しい,やさしい,dễ dàng
音： い、えき,安易,あんい,"bất cẩn, không cẩn thận"
,容易,ようい,"đơn giản, dễ dàng"
,交易,こうえき,"thương mại, buôn bán"
"９４１
N3",昇,Thăng,Thăng tiến
訓,（が）昇る,（が）のぼる,"lên cao,  leo trèo"
音： しょう,昇進,しょうしん,"thăng tiến, thăng chức"
,昇格,しょうかく,"sự thăng cấp, thăng chức"
,昇給,しょうきゅう,tăng lương
,上昇,じょうしょう,"tăng lên, tiến lên"
"９４２
N2",昆,Côn,Côn trùng
音： こん,昆布,こんぶ,tảo bẹ
,昆虫,こんちゅう,côn trùng
"９４３
N2",旺,Vượng,Thịnh vượng
音： おう,旺盛,おうせい,thịnh vượng
"９４４
N5",春,Xuân,Mùa xuân
訓,春,はる,Mùa xuân
音： しゅん,青春,せいしゅん,tuổi xuân
,売春,ばいしゅん,mại dâm
,昨春,さくしゅん,mùa xuân năm ngoái
,春夏秋冬,しゅんかしゅうとう,xuân hạ thu đông
"９４５
N4",星,Tinh,Ngôi sao
訓,星,ほし,ngôi sao
音： せい,火星,かせい,hỏa tinh
,衛星,えいせい,vệ tinh
,流星雨,りゅうせいう,mưa sao băng
,超新星,ちょうしんせい,sao băng
"９４６
N5",昼,Trú,Buổi trưa
訓,昼,ひる,buổi trưa
音： ちゅう,昼食,ちゅうしょく,bữa trưa
,昼光,ちゅうこう,ánh sáng ban ngày
,,,
"９４７
N2",昭,Chiêu,Thời chiêu hòa
音： しょう,昭和,しょうわ,thời chiêu hòa
,昭代,しょうだい,thời đại hòa bình
,,,
"９４８
N5",昨,Tạc,Đã qua
音： さく,昨日,さくじつ,hôm qua
,昨年,さくねん,năm ngoái
,昨秋,さくしゅう,mùa thu năm ngoái
,昨春,さくしゅん,mùa xuân năm ngoái
,昨今,さっこん,ngày nay gần đây
"９４９
N5",映,"Ánh, Ảnh",Phản chiếu
訓,（を）映す,（を）うつす,chiếu (phim)
,（が）映る,（が）うつる,"được chiếu, phản chiếu"
,（に／が）映える,（に／が）はえる,"chiếu sáng lên, dễ nhìn,"
音： えい,映画,えいが,phim ảnh
,反映,はんえい,phản ánh
"９５０
N2",是,Thị,"Đúng, phải"
音： ぜ,是非,ぜひ,nhất định
,是正,ぜせい,"đúng, xem xét lại"
,是認,ぜにん,"tán thành, chấp nhận"
,如是,にょぜ,"như vậy, như điều này"
,社是,しゃぜ,chính sách công ty
"９５１
N2",昧,Muội,Mê muội
