"1441
,衣糧,いりょう,"cơm ăn áo mặc, Thức ăn và quần áo"
,口糧,こうりょう,"khẩu phần ăn chiến sỹ, Phần ăn"
,兵糧,ひょうろう,"lương thảo, lương thực quân đội"
"1497
N3",糸,"Ty, Mịch","Sợi tơ, chỉ"
訓,糸,いと,"sợi tơ, chỉ"
音： し,綿糸,めんし,sợ bông
,絹糸,けんし,"tơ, tơ dệt lụa"
,抜糸,ばっし,tháo chỉ
"1498
N3",系,Hệ,Hệ thống
音： けい,系統,けいとう,"hệ thống, huyết thống (bên cha)"
,文系,ぶんけい,"ganh đua, cạnh tranh, trả giá,
đấu giá"
,理系,りけい,ban khoa học tự nhiên
,生態系,せいたいけい,hệ sinh thái
,太陽系,たいようけい,"thái dương hệ, hệ mặt trời"
"1499
N4",級,Cấp,Cấp bậc
音： きゅう,高級,こうきゅう,cao cấp
,階級,かいきゅう,"giai cấp, cấp bậc"
,上級,じょうきゅう,cấp cao
,特級,とっきゅう,"đặc cấp, thành phần đặc biệt"
,学級,がっきゅう,"cấp học, lớp học ( lớp 1,2,3…)"
"1500
N4",紀,Kỷ,Thế kỷ
音： き,紀行,きこう,"nhật ký hành trình, chuyến đi"
,紀元,きげん,kỷ nguyên
,世紀,せいき,thế kỷ
,綱紀,こうき,"kỷ cương, luật lệ"
,風紀,ふうき,"tác phong sinh hoạt, nếp sống"
150１ N5,約,Ước,"Khoảng, hứa"
音： やく,約束,やくそく,"cuộc hẹn, lời hứa"
,規約,きやく,"quy ước, điều khoản"
,条約,じょうやく,"hiệp ước, hiệp định"
,婚約,こんやく,hôn ước
150２ N3,紅,Hồng,Đỏ đậm
,紅,くれない,đỏ sẫm
音： こう、く,紅白,こうはく,đỏ và trắng
,紅茶,こうちゃ,hồng trà
,深紅,しんく,"đỏ sẫm, đỏ thẫm"
150３ N2,糾,Củ,Xem xét
音： きゅう,糾明,きゅうめい,truy cứu
,糾合,きゅうごう,"tập hợp, tập trugn"
,糾弾,きゅうだん,"chỉ trích, khiển trách, lên án, buộc tội"
,糾問,きゅうもん,"thẩm vấn, tra hỏi"
,紛糾,ふんきゅう,"hỗn loạn, lộn xộn"
150４ N5,紙,Chỉ,Giấy
訓,紙,かみ,giấy
音： し,紙面,しめん,mặt giấy
,用紙,ようし,"mẫu giấy, giấy dùng cho…"
,白紙,はくし,"giấy trắng, không ý kiến, chẳng có gì"
150５ N2,素,Tố,Yếu tố
音： そ、す,素材,そざい,"vậy liệu, nguyên vật liệu"
,要素,ようそ,"yếu tố, nhân tố, thành phần"
,素敵,すてき,tuyệt vời
