音： よう,用事,ようじ,"việc phải làm, bận việc",
,費用,ひよう,chi phí tốn kém,
,応用,おうよう,"ứng dụng, áp dụng",
"1312
N5",田,Điền,Ruộng,
訓,田中,たなか,anh/chị Tanaka,
,山田,やまだ,anh/chị Yamada,
,水田,すいでん,ruộng nước,
音： でん,塩田,えんでん,ruộng muối,
,新田,しんでん,khu đất nông nghiệp mới khai thác,
"1313
N4",申,Thân,"Nói, xưng tên",
訓,（と）申す,もうす,"nói, xưng tên",
音： しん,申告,しんこく,"thông báo, khai báo, trình báo",
,内申,ないしん,báo cáo nội bộ,
,上申,じょうしん,"báo cáo lên trên, đề xuất với cấp trên",
,答申,とうしん,trả lời câu hỏi,
"1314
N5",由,Do,Lý do,
訓,由,よし,"lý do, cách thức",
音： ゆう、ゆ、ゆい,自由,じゆう,tự do,
,理由,りゆう,lý do,
,経由,けいゆ,"quá cảnh, thông qua",
,由緒,ゆいしょ,"lai lịch, lịch sử",
"1315
N2",甲,Giáp,Can thứ nhất,
音： こう,甲乙,こうおつ,bên A và bên B,
,亀甲,きっこう,"mu rùa, mai rùa",
,,,,
,,,,
,,,,
"1316
N5",男,Nam,Phái nam,
訓,男,おとこ,"người con trai, đàn ông",
音： だん、なん,男性,だんせい,Phái nam,
,男優,だんゆう,nam diễn viên,
,美男,びなん,"nam thần, người đàn ông quyến rũ",
,嫡男,ちゃくなん,trưởng nam (con vợ cả),
"1317
N5",町,Đinh,Thị xã,
訓,町,まち,"khu phố, thị xã",
音： ちょう,町村,ちょうそん,thôn làng,
,町民,ちょうみん,người dân trong khu phố,
,町内,ちょうない,trong cùng khu phố,
,同町,どうちょう,khu phố đó,
"1318
N5",画,"Họa, Hoạch",Tranh vẽ,
音： が、かく,画家,がか,họa sỹ,
,画面,がめん,màn hình,
,壁画,へきが,"bích họa, bức tranh vẽ trên tường",
,計画,けいかく,kế hoạch,
,企画,きかく,"phương án, đề nghị",
"1319
N5",界,Giới,Thế giới,
音： かい,世界,せかい,thế giới,
,政界,せいかい,giới chính trị,
,業界,ぎょうかい,trong lĩnh vực nào đó,
,限界,げんかい,"tối đa, mức cao nhất",
,視界,しかい,tầm nhìn,
"1320
N3",畑,Vườn,"Rẫy, vườn",
訓,畑,はたけ,"rẫy, vườn",
,畑,はた,vườn,
,,,,
,,,,
,,,,
132１ N2,畏,Úy,,Sợ sệt
訓,（を）畏れる,（を）おそれる,,"rụt rè, sợ, khiếp sợ, kinh sợ"
音： い,畏敬,いけい,,"tôn kính, kính trọng, nể phục"
,畏服,いふく,,quy phục
,畏縮,いしゅく,,"nhụt chí, bị khớp"
,,,,
132２ N5,留,Lưu,,Ở lại
訓,（を）留める,（を）とめる,,"giữ lại, cố định lại, dừng mắt"
,（が）留まる,（が）とまる,,"dừng lại, đọng lại"
音： りゅう、る,係留,けいりゅう,,"neo lại, cột lại"
,保留,ほりゅう,,"bảo lưu, giữ lại"
,留守,るす,,"vắng nhà, trông nhà"
132３ N3,畜,Súc,,Gia súc
音： ちく,畜産,ちくさん,,chăn nuôi gia súc
,畜舎,ちくしゃ,,chuồng trại
,畜類,ちくるい,,các loại gia súc
,家畜,かちく,,gia súc
,牧畜,ぼくちく,,chăn nuôi theo hình thức du mục
132４ N2,畔,Bạn,,Bờ ruộng
音： はん,河畔,かはん,,ven bờ sông
,湖畔,こはん,,ven bờ hồ
,橋畔,きょうはん,,ven cầu
,池畔,ちはん,,ven bờ ao
,,,,
132５ N2,畝,Mẫu,,100 mét vuông
訓,畝,うね,,luống trồng rau…
,畝,せ,,100 mét vuông
,,,,
,,,,
,,,,
"1326
N2",略,Lược,,Tóm lược
訓,（を）略す,（を）りゃくす,,tóm lược
音： りゃく,略称,りゃくしょう,,"nói rút gọn, gọi tắt"
,略奪,りゃくだつ,,chiếm đoạt
,戦略,せんりゃく,,chiến lược
,侵略,しんりゃく,,xâm lược
"1327
N2",異,Dị,,Khác thường
訓,（が）異なる,（が）ことなる,,"khác thường, khác biệt"
音： い,異例,いれい,,chưa từng có
,異常,いじょう,,"khác thường, bất thường"
,異論,いろん,,"ý kiến phản đối, chống lại"
,異議,いぎ,,"khiếu nại, ý kiến phản đối"
"1328
N5",番,Phiên,,Thứ tự
音： ばん,番組,ばんぐみ,,chương trình
,番号,ばんごう,,số hiệu
,本番,ほんばん,,chính thức
,順番,じゅんばん,,thứ tự
,交番,こうばん,,đồn công an
"1329
N2",畳,Điệp,,"Chiếu, gấp lại"
訓,畳,たたみ,,chiếu
,（を）畳む,（を）たたむ,,gấp lại
音： じょう,六畳,ろくじょう,,diện tích 6 chiếu
,畳語,じょうご,,từ lặp lại
,畳数,じょうすう,,diện tích tính theo số lượng chiếu
"1330
N2",畿,Kỳ,,Chốn kinh kỳ
音： き,畿内,きない,,trong kinh thành
,近畿,きんき,,khu vực xung quanh kinh thành
,,,,
,,,,
,,,,
"1331
N2",疎,Sơ,,"Xa lạ, thưa thớt"
訓,疎い,うとい,,"không thân mật, thiếu hiểu biết"
,,,,
,（を）疎む,（を）うとむ,,"xa lánh, thờ ơ"
音： そ,疎通,そつう,,"thông hiểu, không còn bị tắc"
,疎開,そかい,,"sơ tán, dàn trận, triển khai quân"
,過疎,かそ,,"giảm dân số, mật độ dân số giảm"
"1332
N3",疑,Nghi,,Nghi ngờ
訓,（を）疑う,（を）うたがう,,"nghi ngờ, thắc mắc, có khả năng là"
音： ぎ,疑問,ぎもん,,"nghi vấn, câu hỏi"
,疑惑,ぎわく,,"hoài nghi, khả nghi, đáng nghi"
,疑念,ぎねん,,"nỗi lo âu, cảm giác đắn đo"
,容疑,ようぎ,,tình nghi
1333,疒,Bộ Nạch,,
"1334
N2",疫,Dịch,,Dịch bệnh
音： えき,疫病,えきびょう,,dịch bệnh
,疫学,えきがく,,dịch tễ học
,免疫,めんえき,,miễn dịch
,検疫,けんえき,,kiểm dịch
,防疫,ぼうえき,,phòng dịch
"1335
N5",病,Bệnh,,Bệnh tật
訓,病,やまい,,"bị ốm, bị bệnh"
,（を）病む,（を）やむ,,"bị bệnh, lo âu, phiền não"
音： びょう、へい,病床,びょうしょう,,giường bệnh
,難病,なんびょう,,"bệnh khó chữa, bệnh nan y"
,疾病,しっぺい,,căn bệnh
"1336
N5",疲,Bì,,Mệt
訓,（を）疲らす,（を）つからす,,"làm cho mệt mỏi, gây mệt mỏi"
,（が）疲れる,（が）つかれる,,"mệt mỏi, suy giảm về chất"
音： ひ,疲労,ひろう,,sự mệt mỏi
,疲弊,ひへい,,"mệt mỏi, suy giảm về kinh tế"
,,,,
"1337
N2",疾,Tật,,Đau ốm
,疾患,しっかん,,bệnh tật
