"2001
20４４ N2,鏡,Kính,Cái gương
訓,鏡,かがみ,cái gương
音： きょう,鏡面,きょうめん,bề mặt
,反射鏡,はんしゃきょう,"gương phản chiếu, phản xạ"
,内視鏡,ないしきょう,đèn nội soi
,拡大鏡,かくだいきょう,kính lúp
20４５ N2,鐘,Chung,Cái chuông
訓,鐘,かね,cái chuông
音： しょう,鐘楼,しょうろう,tháp chuông
"2046
N2",鑑,Giám,Gương mẫu
音： かん,鑑定,かんてい,giám định
,鑑識,かんしき,"xét đoán, nhận thúc rõ"
,鑑別,かんべつ,phân biệt
,印鑑,いんかん,con dấu
,名鑑,めいかん,danh sách
"2047
N5",長,Trường,Dài
訓,長い,ながい,dài
音： ちょう,長所,ちょうしょ,sở trường
,長短,ちょうたん,dài ngắn
"2048
N5",門,Môn,"Cửa, cổng"
訓,門,もん,"cửa, cổng"
,門,かど,"cửa, cổng"
"2049
N5",閉,Bế,Đóng
訓,（を）閉める,（を）しめる,"đóng, gài"
,（が）閉まる,（が）しまる,bị đóng
,（を）閉じる,（を）とじる,"bưng bít, che đậy, khép kín"
音： へい,閉幕,へいまく,sự bế mạc
,自閉症,じへいしょう,bệnh tự kỷ
"2050
N5",間,Gian,Thời gian
訓,間,あいだ,"giữa, trong, khoảng trống"
,間,ま,"giữa, trong, khoảng trống"
音： かん、けん、げん,年間,ねんかん,"năm, niên khóa"
,世間,せけん,thế gian
,人間,にんげん,"con người, nhân gian"
"2051
N5",開,Khai,Mở
訓,（を）開ける,（を）あける,mở…
,（が）開く,（が）あく,"bị (được) banh ra, mở"
,（を）開く,（を）ひらく,"bị (được) banh ra, mở"
,（が）開ける,（を）ひらける,khai thông
音： かい,開発,かいはつ,sự phát triển
,開拓,かいたく,"sự khai thác, tiên phong"
"2052
N2",閑,Nhàn,Nghỉ ngơi
音： かん,閑地,かんち,"nơi an toàn, nơi nhàn cư"
,閑散,かんさん,"vắng vẻ, yên ả, thưa thớt, trầm lắng"
,閑静,かんせい,"yên tĩnh, thanh nhàn"
,安閑,あんかん,an nhàn
,森閑,しんかん,"yên lặng, tĩnh mịch"
"2053
N4",関,Quan,Liên quan
訓,関,せき,"cổng, quan hệ"
,（に）関する,（に）かんする,"liên quan, về"
,（に）関わる,（に）かかわる,"liên quan, về"
音： かん,関心,かんしん,quan tâm
,関連,かんれん,sự liên quan
,関与,かんよ,tham dự
,機関,きかん,cơ quan
"2054
N3",閣,Các,Nội các
音： かく,閣僚,かくりょう,thành viên chính phủ
,内閣,ないかく,nội các
,閣下,かっか,"ngài, quý ngài"
,入閣,にゅうかく,sự gia nhập nội các
,倒閣,とうかく,đảo chính
"2055
N2",閥,Phiệt,Phe nhóm
音： ばつ,閥族,ばつぞく,tập đoàn
,財閥,ざいばつ,"tài phiệt, tư bản tài chính"
,党閥,とうばつ,"đảng phái, bé cánh"
,軍閥,ぐんばつ,quân phiệt
,門閥,もんばつ,"nòi giống, dòng dõi"
"2056
N2",閲,Duyệt,Xem (xét) lại
音： えつ,閲覧,えつらん,"sự đọc, sự duyệt lãm"
"2057
N3",闇,Ám,Màn đêm
訓,暗闇,くらやみ,bóng tối
,闇夜,やみよ,đêm tối
音： あん,闇夜,あんや,đêm tối
"2058
N3",闘,Đấu,Chiến đấu
訓,（と）闘う,（と）たたかう,"chiến đấu, đấu tranh"
音： とう,闘志,とうし,đấu sĩ
,闘争,とうそう,đấu tranh
,戦闘,せんとう,chiến đấu
,共闘,きょうとう,cùng nhau đấu tranh
2059,阝～,Bộ Phụ,
"2060
N3",防,Phòng,Ngăn ngừa
訓,（を）防ぐ,（を）ふせぐ,phòng chống ngăn ngừa
音： ぼう,防止,ぼうし,"phòng cháy, sự đề phòng"
,防災,ぼうさい,phòng chống thiên tai
,予防,よぼう,sự ngăn ngừa
,国防,こくぼう,quốc phòng
20６１ N3,阪,Phản,Cái dốc
訓,大阪,おおさか,Osaka
20６２ N2,阻,Trở,Cản trở
訓,（を）阻む,（を）はばむ,"cản trở, ngăn cản, chắn, chặn"
音： そ,阻止,そし,"cản trở, trấn ngự"
,阻害,そがい,"sự cản trở, trở ngại"
,阻隔,そかく,"sự tách ra, xa lạ"
,険阻,けんそ,"dốc, dựng đứng"
20６３ N2,附,Phụ,"Thêm, giúp"
音： ふ,附記,ふき,ghi chú bổ sung
,附近,ふきん,vùng lân cận
,附録,ふろく,"phụ lục, phần phụ"
20６４ N5,降,Giáng,"Xuống xe, trời mưa"
訓,（を）降りる,（を）おりる,bước xuống
,（を）降ろす,（を）おろす,"cho xuống, rút (tiền)"
,（が）降る,（が）ふる,rơi (mưa)
音： こう,降格,こうかく,sự giáng cấp. Giáng chức
,以降,いこう,"sau đó, tử sau đó"
20６５ N2,阜,Phụ,Núi đất
音： ふ,岐阜,ぎふ,tỉnh gifu
"2066
N3",限,Hạn,Giới hạn
訓,（を）限る,（を）かぎる,"giới hạn, hạn chế"
音： げん,限界,げんかい,"mức, phạm vi"
,限定,げんてい,sự hạn định
,極限,きょくげん,"cực hạn, tối đa"
,権限,けんげん,"quyền hạn, thẩm quyền"
"2067
N5",院,Viện,Tòa nhà
音： いん,院長,いんちょう,viện trưởng
,医院,いいん,y viện
,病院,びょういん,bệnh viện
"2068
N3",除,Trừ,Loại trừ
訓,（を）除く,（を）のぞく,"giải trừ, khử, loại bỏ, ngoại trừ"
,除去,じょきょ,loại bỏ
"2069
N2",陛,Bệ,Vua
音： へい,陛下,へいか,bệ hạ (vua)
"2070
N2",陣,Trận,Chiến trường
音： じん,陣地,じんち,chổ lập trại
,陣営,じんえい,"doanh trại, phe phái"
,退陣,たいじん,"sự nghỉ việc, sự rút lui"
,出陣,しゅつじん,"xuất binh, xuất trận"
,先陣,せんじん,quân tiên phong
"2071
N2",陥,Hãm,Rơi vào bẫy
訓,（に）陥る,（に）おちいる,rơi vào
,（に）陥れる,（に）おとしいれる,"dụ dỗ, gài bẫy"
音： かん,陥落,かんらく,"sự tụt dốc, sa sút"
,陥入,かんにゅう,"rơi vào, sụp đổ"
,欠陥,けっかん,khuyết điểm
"2072
N3",陸,Lục,Đất liền
音： りく,陸地,りくち,lục địa
,大陸,たいりく,đại lục
,上陸,じょうりく,sự bốc dỡ (hàng)
,離陸,りりく,sự cất cánh
,着陸,ちゃくりく,hạ cánh
"2073
N4",険,Hiểm,Hiểm trở
訓,険しい,けわしい,nguy hiểm
音： けん,険悪,けんあく,"khắt khe, gay gắt"
,保険,ほけん,bảo hiểm
"2074
N2",陰,Âm,Bóng râm
訓,陰,かげ,bóng râm
,（が）陰る,（が）かげる,"làm tối, u ám"
音： いん,陰性,いんせい,âm tính
,陰影,いんえい,cái bóng
,陰気,いんき,"âm khí, âm u"
"2075
N2",陳,Trần,Trình bày
音： ちん,陳述,ちんじゅつ,lời tuyên bố
,陳情,ちんじょう,"lời thỉnh cầu, kiến nghị"
,陳列,ちんれつ,sự trưng bày
,陳腐,ちんぷ,lặp đi lặp lại
,具陳,ぐちん,báo cáo chi tiết
"2076
N2",陶,Đào,Đồ sành sứ
音： とう,陶然,とうぜん,say sưa
,陶工,とうこう,thợ gốm
,陶製,とうせい,đồ gốm
,薫陶,くんとう,sự cảm hóa
2078N2,隆,Long,Phồn thịnh
,隆替,りゅうたい,"sự thịnh suy, thăng trầm"
,興隆,こうりゅう,sự phồn thịnh
"2079
N2",陵,Lăng,Mộ vua
訓,陵,みささぎ,lăng mộ
音： りょう,陵墓,りょうぼ,lăng mộ
,陵駕,りょうが,"vô song, vượt hẳn"
,陵辱,りょうじょく,"sự xúc phạm, sự lăng nhục"
,丘陵,きゅうりょう,đồi núi
"2080
N3",階,Giai,Giai đoạn
音： かい,階層,かいそう,tầng lớp
,階級,かいきゅう,giai cấp
,階段,かいだん,cầu thang
,階下,かいか,tầng dưới
,地階,ちかい,tầng hầm
