"801
訓,（を）捨てる,（を）すてる,vứt bỏ
音： しゃ,喜捨,きしゃ,"bố thí, quyên góp, dâng tặng"
,四捨五入,ししゃごにゅう,làm tròn số
"857
N2",推,Suy,"Suy luận, đề cử"
訓,（を）推す,（を）おす,"suy luận, đề cử"
音： すい,推進,すいしん,thúc đẩy
,推定,すいてい,"suy đoán, ước tính"
,推計,すいけい,"ước lượng, ước tính"
,推移,すいい,"sự thay đổi, dịch chuyển"
"858
N4",探,Thám,Tìm kiếm
訓,（を）探す,（を）さがす,tìm kiếm
,（を）探る,（を）さぐる,"lục lọi, thăm dò"
音： たん,探査,たんさ,"thăm dò, khảo sát"
,探検,たんけん,thám hiểm
,探求,たんきゅう,đi tìm
"859
N2",掘,Quật,Đào
訓,（を）掘る,（を）ほる,đào
音： くつ,掘削,くっさく,"đào xúc, đào bới"
,拡充,はっくつ,"khai quật, đào được"
,採掘,さいくつ,đào được mỏ
,盗掘,とうくつ,đào trộm
"860
N3",描,Miêu,"Vẽ, miêu tả"
訓,（を）担う,（を）かく,vẽ
,（を）描く,（を）えがく,"miêu tả, phác họa, tưởng tượng"
音： びょう,描写,びょうしゃ,miêu tả
,描画,びょうが,vẽ tranh
,素描,そびょう,"vẽ những nét cơ bản, nét phác họa"
"8６１
N3",掛,Quải,"Treo, máng, móc"
訓,（を）掛ける,（を）かける,"treo, máng"
,（が）掛かる,（が）かかる,"được treo, được máng"
,,,
,,,
,,,
"8６２
N2",掲,Yết,"Treo lên, đăng lên, cuộn lên"
訓,（を）掲げる,（を）かかげる,"treo lên cao, đăng lên, cuộn lên"
音： けい,掲示,けいじ,"thông báo, yết thị"
,掲揚,けいよう,treo cờ
,前掲,ぜんけい,đã nêu ở phần trước
,上掲,じょうけい,đã nêu ở trên
"8６３
N2",控,Khống,"Hạn chế, chờ đợi"
訓,（を）控える,（を）ひかえる,"hạn chế, chờ đợi"
音： こう,控訴,こうそ,kháng án
,控除,こうじょ,khấu trừ
,,,
,,,
"8６４
N2",措,Thố,"Đặt, để"
音： そ,措置,そち,biện pháp
,措辞,そじ,cách bố trí từ
,措定,そてい,phỏng đoán
,挙措,きょそ,"hành vi, cử chỉ"
,,,
"8６５
N5",掃,Tảo,Quét dọn
訓,（を）掃く,（を）はく,quét
音： そう,掃除,そうじ,"quét dọn, vệ sinh"
,掃射,そうしゃ,oanh tạc
,掃討,そうとう,"càn quét, loại trừ hết"
,清掃,せいそう,"vệ sinh, tẩy rửa cho sạch sẽ"
"866
N2",排,Bài,"Bài trừ, loại bỏ"
音： はい,排他,はいた,độc quyền
,排水,はいすい,nước thải
,排除,はいじょ,loại bỏ
,排煙,はいえん,khói thải
,排出,はいしゅつ,"loại ra, đẩy ra"
"867
N2",据,Cứ,"Đặt, để"
訓,（を）据える,（を）すえる,"đặt, để"
,（に）据わる,（に）すわる,"được cố định, được lắp đặt"
,,,
,,,
,,,
"868
N2",捻,Niệm,"Vặn,vắt, xoay"
訓,（を）捻る,（を）ひねる,"vặn, vắt, xoay"
,（を）捻じる,（を）ねじる,"vặn, vắt, xoay"
音： ねん,捻転,ねんてん,xoắn lên
,捻出,ねんしゅつ,"nghĩ ra, xoay xở"
,*捻子,ねじ,"đinh ốc, ốc vít"
"869
N2",提,Đề,Đề xuất
訓,（を）提げる,（を）さげる,"đưa xuống, mang xuống"
音： てい,提言,ていげん,đưa ra ý kiến
,提案,ていあん,"đề nghị, đề án"
