,切れる,きれる,bị đứt
音： せつ、さい,親切,しんせつ,thân thiết
,大切,たいせつ,quan trọng
,一切,いっさい,hoàn toàn
"１98
N5",分,Phân,"Phân chia, hiểu"
訓,分かる,わかる,biết
,分かれる,わかれる,biết
,分ける,わける,phân chia
,分かつ,わかつ,phân chia
音： ぶん、ふん、ぶ,分別,ぶんべつ,phân biệt
,十分,じゅっぷん,đủ
,３８度５分,３８ど５ぶ,38 độ 5
"１99
N2",刈,Ngải,"Cắt, xén"
訓,刈る,かる,"gặt, cắt, tỉa"
,,,
"２００
N2",刊,San,Xuất bản
音： かん,刊行,かんこう,phát hành
,日刊,にっかん,tạp chí theo ngày
,創刊,そうかん,sự xuất bản
,月刊誌,げっかんし,tạp chí theo tháng
,週刊誌,しゅうかんし,tạp chí theo tuần
"２０１
N3",列,Liệt,Hàng lối
音,行列,ぎょうれつ,hàng người
,列島,れっとう,quần đảo
,列車,れっしゃ,xe lửa
,参列,さんれつ,sự hiện diện
,配列,はいれつ,sự xếp hàng
"２０２
N3",刑,Hình,"Hình phạt, kết tội"
音,刑事,けいじ,hình sự
,死刑,しけい,tử hình
,刑法,けいほう,luật hình
,処刑,しょけい,hành hình
,受刑,じゅけい,trừng phạt
"２０３
N5",初,Sơ,Lần dầu
訓,初めて,はじめて,lần đầu tiên
,初め,はじめ,ban đầu
,初恋,はつこい,mối tình đầu
音,最初,さいしょ,đầu tiên
,初旬,しょじゅん,thượng tuần
"２０４
N4",別,Biệt,Chia tay
訓,別れる,わかれる,chia tay
音,特別,とくべつ,đặc biệt
,差別,さべつ,khác biệt
,送別会,そうべつかい,tiệc đưa tiễn
,性別,せいべつ,giới tính
"２０５
N5",利,Lợi,Lợi ích
訓,利く,きく,có lợi
音,利益,りえき,lợi ích
,利子,りし,"tiền lời, lời lãi"
,利用,りよう,sử dụng
,金利,きんり,lãi suất
"２０６
N3",判,Phán,Phán xét
訓,判る,わかる,dễ hiểu
音,判断,はんだん,phán đoán
,判決,はんけつ,phán quyết
,批判,ひはん,sự phê phán
,評判,ひょうばん,bình luận
"２０７
N3",刷,Loát,In ấn
訓,刷る,する,in ấn
音,印刷,いんさつ,in ấn
,刷新,さっしん,"cách tân, đổi mới"
,縮刷版,しゅくさつばん,phiên bản nhỏ
,増刷,ぞうさつ,in thêm
"２０８
N3",券,Khoán,"Vé, khế ước"
音,招待券,しょうたいけん,thiệp mời
,食券,しょっけん,phiếu ăn
,証券,しょうけん,hối phiếu
,定期券,ていきけん,vé tháng
,乗車券,じょうしゃけん,vé xe
"２０９
N3",制,Chế,"Hạn chế, quy chế"
音,制度,せいど,chế độ
,体制,たいせい,thể chế
,規制,きせい,qui chế
,制裁,せいさい,chế tài
,制服,せいふく,đồng phục
"２１０
N4",刻,Khắc,Chạm trổ
訓,刻む,きざむ,đục chạm
音,時刻,じこく,thời khắc
,深刻,しんこく,nghiêm trọng
,定刻,ていこく,thời gian đã định
,即刻,そっこく,tức khắc
"２１１
N4",刺,Thích,"Đâm, chích"
訓,刺す,さす,"cắn, hút, chích"
,刺さる,ささる,"bị đâm, khó xử"
音,刺激,しげき,sự kích thích
,名刺,めいし,danh thiếp
,刺殺,しさつ,đâm chết
"２１２
N3",到,Đáo,"Đến nơi, chu đáo"
音,到着,とうちゃく,đến nơi
,到底,とうてい,"hoàn toàn, tuyệt đối"
,到来,とうらい,đến
,到達,とうたつ,đạt đến
,周到,しゅうとう,kỹ lưỡng
"２１３
N2",刹,Sát,Một thoáng
音： せつ、さつ,刹那,せつな,"tức thời, thời cơ"
,古刹,こさつ,ngôi miếu cổ
,仏刹,ぶっさつ,miếu phật
,,,
"２１４
N5",前,Tiền,Phía trước
訓,前,まえ,trước
音： ぜん,前後,ぜんご,trước sau
,前提,ぜんてい,tiền đề
,前面,ぜんめん,mọi mặt
,戦前,せんぜん,tiền chiến
"２１５
N4",則,Tắc,Quy tắc
音： そく,規則,きそく,qui tắc
,原則,げんそく,nguyên tắc
,罰則,ばっそく,qui tắc xử phạt
,校則,こうそく,nội qui trường học
,法則,ほうそく,luật lệ
"２１６
N3",削,Tước,"Lột vỏ, bóc"
訓,削る,けずる,chuốt
音： さく,削減,さくげん,cắt giảm
,削除,さくじょ,xóa bỏ
,掘削,くっさく,khai quật
,添削,てんさく,sửa chữa
"２１７
N3",剣,Kiếm,Cây kiếm
訓,剣,つるぎ,kiếm
音： けん,剣士,けんし,kiếm sĩ
,剣道,けんどう,kiếm đạo
,真剣,しんけん,đứng đắn
,刀剣,とうけん,đao kiếm
"２１８
N3",剤,Tễ,Thuốc tế
音： ざい,溶剤,ようざい,dung môi
,洗剤,せんざい,xà phòng
,錠剤,じょうざい,thuốc nén
,薬剤師,やくざいし,dược sĩ
,殺虫剤,さっちゅうざい,thuốc sát trùng
"２１９
N2",剖,Phẫu,"Giải phẫu, mổ xẻ"
音： ぼう,剖検,ぼうけん,sự mồ xẻ
,解剖,かいぼう,sự giải phẫu
,,,
"２３０
N2",剛,Cương,Cứng
音： ごう,剛健,ごうけん,vững chãi
,剛勇,ごうゆう,anh dũng
,剛性,ごうせい,cứng rắn
,剛情,ごうじょう,bướng bỉnh
,金剛,こんごう,kim cương
"２２１
N2",剥,Bóc,"Gỡ, bóc ra"
訓,剥がす,はがす,bóc ra
,剥がれる,はがれる,bong tróc
,剥ぐ,はぐ,bỏ ra
,剥げる,はげる,bay màu
音： はく,剥脱,はくだつ,sự tước đoạt
,剥片,はくへん,"miếng, lát mỏng"
,剥落,はくらく,tách ra (tàu xe)
"２２２
N2",剰,Thặng,Thặng dư
音： じょう,剰員,じょういん,nhân viên thừa
,過剰,かじょう,sự dư thừa
,余剰,よじょう,thừa thãi
"２２３
N3",副,Phó,"Giúp, phụ"
音： ふく,副詞,ふくし,phó từ
,副題,ふくだい,phụ đề
,副本,ふくほん,bản phụ
,副業,ふくぎょう,nghề tay trái
,副大臣,ふくだいじん,thứ trưởng
"２２４
N4",割,Cát,"Làm vỡ, chia"
訓,（を）割る,（を）わる,làm vỡ
,（が）割れる,（が）われる,bể
,一割,いちわり,mười phần trăm
音： かつ,割譲,かつじょう,nhượng lại
,分割,ぶんかつ,phân cắt
"２２５
N2",創,Sáng,Sáng tạo
音： そう,創意,そうい,sáng kiến
,創立,そうりつ,sự thành lập
,創作,そうさく,tác phẩm
,創造,そうぞう,sáng tạo
,独創,どくそう,"tự sáng tác, khéo léo"
"２２６
N3",劇,Kịch,Vở kịch
音： げき,劇場,げきじょう,sân khấu
,劇団,げきだん,đoàn kịch
,喜劇,きげき,hài kịch
,悲劇,ひげき,bi kịch
,演劇,えんげき,diễn kịch
"２２７
N5",力,Lực,Sức lực
訓,力,ちから,sức lực
音： りょく、りき,実力,じつりょく,thực lực
,勢力,せいりょく,thế lực
,協力,きょうりょく,hiệp lực
,力士,りきし,lực sĩ
"２２８
N4",加,Gia,Thêm vào
訓,加える,くわえる,thêm vào
,加わる,くわわる,gia nhập
音： か,加速,かそく,gia tốc
,加減,かげん,sự tăng giảm
,加入,かにゅう,gia nhập
"２２９
N4",功,Công,Thành công
音： こう、く,成功,せいこう,thành công
,奏功,そうこう,thành tích
,功績,こうせき,công tích
,功労,こうろう,công lao
,功徳,くどく,công đức
"２３０
N2",劣,Liệt,Yếu kém
訓,劣る,おとる,kém hơn
音： れつ,劣悪,れつあく,"thấp kém, tồi tàn"
,劣勢,れっせい,yếu thế
,劣等,れっとう,hàng thấp kém
,優劣,ゆうれつ,tính ưu việt
"２３１
N4",助,Trợ,Trợ giúp
訓,助ける,たすける,cứu
,助かる,たすかる,được cứu giúp
,助,すけ,giúp đỡ
音： じょ,助手,じょしゅ,trợ thủ
,援助,えんじょ,viện trợ
,補助,ほじょ,hổ trợ
"２３２
N4",努,Nỗ,Nỗ lực
訓,努める,つとめる,cố gắng
音： ど,努力,どりょく,nỗ lực
,,,
"２３３
N3",労,Lao,Lao động
訓,労わる,いたわる,thông cảm
音： ろう,苦労,くろう,gian khổ
,疲労,ひろう,mệt mỏi
,過労,かろう,mệt mỏi quá sức
,就労,しゅうろう,lao động
"２３４
N3",励,Lệ,Khích lệ
訓,励む,はげむ,phấn đấu
,励ます,はげます,cổ vũ
音： れい,励行,れいこう,thi hành
